dataset_variant,dataset_group,probability_type,horizon_year,comparison,model_a,model_b,estimate_a,interval_type_a,uncertainty_sd_a,interval_lower_95_a,interval_median_50_a,interval_upper_95_a,estimate_b,interval_type_b,uncertainty_sd_b,interval_lower_95_b,interval_median_50_b,interval_upper_95_b,delta_interval_type,delta_probability,delta_uncertainty_sd,delta_interval_lower_95,delta_interval_median_50,delta_interval_upper_95,abs_delta_probability
PNU,PNU,survival,9,Bayesian transition-only cure minus KM benchmark,KM benchmark,Bayesian transition-only cure,0.701181,95% CI,NA,0.566818,NA,0.867394,0.592816,95% CrI,0.110381,0.37479,0.597002,0.794092,95% uncertainty interval,-0.108365,0.139219,-0.382146,-0.10168,0.159089,0.108365
PNU,PNU,survival,9,Frequentist mixture cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Frequentist mixture cure,0.461339,95% CI,0.116477,0.180486,0.465218,0.627197,0.615114,95% CI,0.096226,0.470332,0.635134,0.8436,95% CI,0.153775,0.160238,-0.159327,0.166962,0.475993,0.153775
PNU,PNU,survival,9,Frequentist mixture cure minus KM benchmark,KM benchmark,Frequentist mixture cure,0.701181,95% CI,NA,0.566818,NA,0.867394,0.615114,95% CI,0.096226,0.470332,0.635134,0.8436,95% CI,-0.086067,0.13365,-0.3308,-0.060619,0.190338,0.086067
PNU,PNU,survival,9,Frequentist no-cure lognormal minus KM benchmark,KM benchmark,Frequentist no-cure lognormal,0.701181,95% CI,NA,0.566818,NA,0.867394,0.461339,95% CI,0.116477,0.180486,0.465218,0.627197,95% CI,-0.239842,0.146866,-0.514401,-0.230368,0.058918,0.239842
PNU,PNU,survival,10,Bayesian transition-only cure minus Frequentist mixture cure,Frequentist mixture cure,Bayesian transition-only cure,0.61214,95% CI,0.097881,0.465536,0.631312,0.843274,0.586514,95% CrI,0.113555,0.361328,0.592709,0.792001,95% uncertainty interval,-0.025626,0.151639,-0.335986,-0.032445,0.258341,0.025626
PNU,PNU,survival,10,Bayesian transition-only cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Bayesian transition-only cure,0.445011,95% CI,0.117587,0.166235,0.449581,0.616769,0.586514,95% CrI,0.113555,0.361328,0.592709,0.792001,95% uncertainty interval,0.141503,0.166118,-0.201777,0.146335,0.450403,0.141503
PNU,PNU,survival,10,Bayesian transition-only cure minus KM benchmark,KM benchmark,Bayesian transition-only cure,0.701181,95% CI,NA,0.566818,NA,0.867394,0.586514,95% CrI,0.113555,0.361328,0.592709,0.792001,95% uncertainty interval,-0.114667,0.140198,-0.381117,-0.0978,0.157819,0.114667
PNU,PNU,survival,10,Frequentist mixture cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Frequentist mixture cure,0.445011,95% CI,0.117587,0.166235,0.449581,0.616769,0.61214,95% CI,0.097881,0.465536,0.631312,0.843274,95% CI,0.167129,0.161438,-0.144872,0.178989,0.473982,0.167129
PNU,PNU,survival,10,Frequentist mixture cure minus KM benchmark,KM benchmark,Frequentist mixture cure,0.701181,95% CI,NA,0.566818,NA,0.867394,0.61214,95% CI,0.097881,0.465536,0.631312,0.843274,95% CI,-0.089041,0.133341,-0.33182,-0.070939,0.19279,0.089041
PNU,PNU,survival,10,Frequentist no-cure lognormal minus KM benchmark,KM benchmark,Frequentist no-cure lognormal,0.701181,95% CI,NA,0.566818,NA,0.867394,0.445011,95% CI,0.117587,0.166235,0.449581,0.616769,95% CI,-0.25617,0.149644,-0.521795,-0.249269,0.065043,0.25617
SNU,SNU,risk,1,Bayesian transition-only cure minus Frequentist mixture cure,Frequentist mixture cure,Bayesian transition-only cure,0.0839,95% CI,0.03401,0.003082,0.055613,0.115692,0.088654,95% CrI,0.016125,0.059177,0.088629,0.124525,95% uncertainty interval,0.004754,0.074407,-0.184635,0.030646,0.097506,0.004754
SNU,SNU,risk,1,Bayesian transition-only cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Bayesian transition-only cure,0.084171,95% CI,0.01678,0.058214,0.08763,0.123574,0.088654,95% CrI,0.016125,0.059177,0.088629,0.124525,95% uncertainty interval,0.004483,0.023867,-0.045888,0.001143,0.048658,0.004483
SNU,SNU,risk,1,Bayesian transition-only cure minus KM benchmark,KM benchmark,Bayesian transition-only cure,0.072754,95% CI,NA,0.03524,NA,0.108809,0.088654,95% CrI,0.016125,0.059177,0.088629,0.124525,95% uncertainty interval,0.0159,0.026809,-0.042775,0.01552,0.065158,0.0159
SNU,SNU,risk,1,Frequentist mixture cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Frequentist mixture cure,0.084171,95% CI,0.01678,0.058214,0.08763,0.123574,0.0839,95% CI,0.03401,0.003082,0.055613,0.115692,95% CI,-2.71e-4,0.074159,-0.095105,-0.030825,0.187178,2.71e-4
SNU,SNU,risk,1,Frequentist mixture cure minus KM benchmark,KM benchmark,Frequentist mixture cure,0.072754,95% CI,NA,0.03524,NA,0.108809,0.0839,95% CI,0.03401,0.003082,0.055613,0.115692,95% CI,0.011146,0.075399,-0.089148,-0.015236,0.207867,0.011146
SNU,SNU,risk,1,Frequentist no-cure lognormal minus KM benchmark,KM benchmark,Frequentist no-cure lognormal,0.072754,95% CI,NA,0.03524,NA,0.108809,0.084171,95% CI,0.01678,0.058214,0.08763,0.123574,95% CI,0.011417,0.027603,-0.042211,0.014444,0.065845,0.011417
SNU,SNU,risk,2,Bayesian transition-only cure minus Frequentist mixture cure,Frequentist mixture cure,Bayesian transition-only cure,0.131967,95% CI,0.052079,0.00489,0.089413,0.172835,0.139046,95% CrI,0.020739,0.09968,0.137848,0.181927,95% uncertainty interval,0.007079,0.102234,-0.245382,0.04676,0.139938,0.007079
SNU,SNU,risk,2,Bayesian transition-only cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Bayesian transition-only cure,0.132553,95% CI,0.022026,0.099543,0.136402,0.18449,0.139046,95% CrI,0.020739,0.09968,0.137848,0.181927,95% uncertainty interval,0.006493,0.030912,-0.059637,0.001385,0.062481,0.006493
SNU,SNU,risk,2,Bayesian transition-only cure minus KM benchmark,KM benchmark,Bayesian transition-only cure,0.121529,95% CI,NA,0.072237,NA,0.168203,0.139046,95% CrI,0.020739,0.09968,0.137848,0.181927,95% uncertainty interval,0.017517,0.034385,-0.056164,0.016003,0.078042,0.017517
SNU,SNU,risk,2,Frequentist mixture cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Frequentist mixture cure,0.132553,95% CI,0.022026,0.099543,0.136402,0.18449,0.131967,95% CI,0.052079,0.00489,0.089413,0.172835,95% CI,-5.86e-4,0.102014,-0.137081,-0.044776,0.246772,5.86e-4
SNU,SNU,risk,2,Frequentist mixture cure minus KM benchmark,KM benchmark,Frequentist mixture cure,0.121529,95% CI,NA,0.072237,NA,0.168203,0.131967,95% CI,0.052079,0.00489,0.089413,0.172835,95% CI,0.010438,0.103417,-0.131486,-0.030484,0.261546,0.010438
SNU,SNU,risk,2,Frequentist no-cure lognormal minus KM benchmark,KM benchmark,Frequentist no-cure lognormal,0.121529,95% CI,NA,0.072237,NA,0.168203,0.132553,95% CI,0.022026,0.099543,0.136402,0.18449,95% CI,0.011024,0.034593,-0.056816,0.014823,0.079667,0.011024
SNU,SNU,risk,3,Bayesian transition-only cure minus Frequentist mixture cure,Frequentist mixture cure,Bayesian transition-only cure,0.167496,95% CI,0.065536,0.00632,0.113342,0.217718,0.175402,95% CrI,0.024422,0.130656,0.175468,0.224072,95% uncertainty interval,0.007906,0.11571,-0.270014,0.061006,0.174728,0.007906
SNU,SNU,risk,3,Bayesian transition-only cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Bayesian transition-only cure,0.168409,95% CI,0.02632,0.128788,0.172584,0.230565,0.175402,95% CrI,0.024422,0.130656,0.175468,0.224072,95% uncertainty interval,0.006993,0.036139,-0.069529,0.004968,0.073879,0.006993
SNU,SNU,risk,3,Bayesian transition-only cure minus KM benchmark,KM benchmark,Bayesian transition-only cure,0.168971,95% CI,NA,0.110171,NA,0.223885,0.175402,95% CrI,0.024422,0.130656,0.175468,0.224072,95% uncertainty interval,0.006431,0.039342,-0.071331,0.006927,0.07904,0.006431
SNU,SNU,risk,3,Frequentist mixture cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Frequentist mixture cure,0.168409,95% CI,0.02632,0.128788,0.172584,0.230565,0.167496,95% CI,0.065536,0.00632,0.113342,0.217718,95% CI,-9.13e-4,0.116592,-0.176707,-0.057711,0.269066,9.13e-4
SNU,SNU,risk,3,Frequentist mixture cure minus KM benchmark,KM benchmark,Frequentist mixture cure,0.168971,95% CI,NA,0.110171,NA,0.223885,0.167496,95% CI,0.065536,0.00632,0.113342,0.217718,95% CI,-0.001475,0.117806,-0.177832,-0.055339,0.280928,0.001475
SNU,SNU,risk,3,Frequentist no-cure lognormal minus KM benchmark,KM benchmark,Frequentist no-cure lognormal,0.168971,95% CI,NA,0.110171,NA,0.223885,0.168409,95% CI,0.02632,0.128788,0.172584,0.230565,95% CI,-5.62e-4,0.040011,-0.07731,0.002698,0.077542,5.62e-4
SNU,SNU,risk,4,Bayesian transition-only cure minus Frequentist mixture cure,Frequentist mixture cure,Bayesian transition-only cure,0.196079,95% CI,0.076402,0.00729,0.132872,0.252409,0.204025,95% CrI,0.027615,0.153927,0.2041,0.262677,95% uncertainty interval,0.007946,0.135502,-0.322586,0.069139,0.204939,0.007946
SNU,SNU,risk,4,Bayesian transition-only cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Bayesian transition-only cure,0.197313,95% CI,0.030042,0.152759,0.201362,0.268718,0.204025,95% CrI,0.027615,0.153927,0.2041,0.262677,95% uncertainty interval,0.006712,0.040244,-0.076516,0.002653,0.081628,0.006712
SNU,SNU,risk,4,Bayesian transition-only cure minus KM benchmark,KM benchmark,Bayesian transition-only cure,0.18343,95% CI,NA,0.121973,NA,0.240586,0.204025,95% CrI,0.027615,0.153927,0.2041,0.262677,95% uncertainty interval,0.020595,0.042051,-0.063598,0.021122,0.102315,0.020595
SNU,SNU,risk,4,Frequentist mixture cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Frequentist mixture cure,0.197313,95% CI,0.030042,0.152759,0.201362,0.268718,0.196079,95% CI,0.076402,0.00729,0.132872,0.252409,95% CI,-0.001234,0.135211,-0.201197,-0.065119,0.315766,0.001234
SNU,SNU,risk,4,Frequentist mixture cure minus KM benchmark,KM benchmark,Frequentist mixture cure,0.18343,95% CI,NA,0.121973,NA,0.240586,0.196079,95% CI,0.076402,0.00729,0.132872,0.252409,95% CI,0.012649,0.136609,-0.186065,-0.049635,0.339803,0.012649
SNU,SNU,risk,4,Frequentist no-cure lognormal minus KM benchmark,KM benchmark,Frequentist no-cure lognormal,0.18343,95% CI,NA,0.121973,NA,0.240586,0.197313,95% CI,0.030042,0.152759,0.201362,0.268718,95% CI,0.013883,0.042392,-0.067724,0.01914,0.100861,0.013883
SNU,SNU,risk,5,Bayesian transition-only cure minus Frequentist mixture cure,Frequentist mixture cure,Bayesian transition-only cure,0.220132,95% CI,0.085559,0.008042,0.149625,0.281467,0.227658,95% CrI,0.03045,0.172405,0.228057,0.292627,95% uncertainty interval,0.007526,0.143753,-0.324773,0.074821,0.226947,0.007526
SNU,SNU,risk,5,Bayesian transition-only cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Bayesian transition-only cure,0.221677,95% CI,0.033312,0.17302,0.225627,0.302015,0.227658,95% CrI,0.03045,0.172405,0.228057,0.292627,95% uncertainty interval,0.005981,0.044806,-0.08543,0.001101,0.08864,0.005981
SNU,SNU,risk,5,Bayesian transition-only cure minus KM benchmark,KM benchmark,Bayesian transition-only cure,0.21081,95% CI,NA,0.143128,NA,0.273146,0.227658,95% CrI,0.03045,0.172405,0.228057,0.292627,95% uncertainty interval,0.016848,0.046416,-0.076495,0.016933,0.102992,0.016848
SNU,SNU,risk,5,Frequentist mixture cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Frequentist mixture cure,0.221677,95% CI,0.033312,0.17302,0.225627,0.302015,0.220132,95% CI,0.085559,0.008042,0.149625,0.281467,95% CI,-0.001545,0.145016,-0.225521,-0.075215,0.325514,0.001545
SNU,SNU,risk,5,Frequentist mixture cure minus KM benchmark,KM benchmark,Frequentist mixture cure,0.21081,95% CI,NA,0.143128,NA,0.273146,0.220132,95% CI,0.085559,0.008042,0.149625,0.281467,95% CI,0.009322,0.145639,-0.219567,-0.06026,0.338297,0.009322
SNU,SNU,risk,5,Frequentist no-cure lognormal minus KM benchmark,KM benchmark,Frequentist no-cure lognormal,0.21081,95% CI,NA,0.143128,NA,0.273146,0.221677,95% CI,0.033312,0.17302,0.225627,0.302015,95% CI,0.010867,0.047694,-0.079817,0.015277,0.106813,0.010867
SNU,SNU,risk,6,Bayesian transition-only cure minus Frequentist mixture cure,Frequentist mixture cure,Bayesian transition-only cure,0.240956,95% CI,0.093488,0.008656,0.163411,0.308535,0.247776,95% CrI,0.033003,0.189265,0.248428,0.318657,95% uncertainty interval,0.00682,0.154537,-0.345919,0.085531,0.2437,0.00682
SNU,SNU,risk,6,Bayesian transition-only cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Bayesian transition-only cure,0.242799,95% CI,0.03621,0.190001,0.246622,0.330664,0.247776,95% CrI,0.033003,0.189265,0.248428,0.318657,95% uncertainty interval,0.004977,0.048349,-0.093299000000000007,0.001987,0.098419,0.004977
SNU,SNU,risk,6,Bayesian transition-only cure minus KM benchmark,KM benchmark,Bayesian transition-only cure,0.247209,95% CI,NA,0.163121,NA,0.322847,0.247776,95% CrI,0.033003,0.189265,0.248428,0.318657,95% uncertainty interval,5.67e-4,0.05385,-0.108533,0.001548,0.104647,5.67e-4
SNU,SNU,risk,6,Frequentist mixture cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Frequentist mixture cure,0.242799,95% CI,0.03621,0.190001,0.246622,0.330664,0.240956,95% CI,0.093488,0.008656,0.163411,0.308535,95% CI,-0.001843,0.155805,-0.247151,-0.078496,0.344678,0.001843
SNU,SNU,risk,6,Frequentist mixture cure minus KM benchmark,KM benchmark,Frequentist mixture cure,0.247209,95% CI,NA,0.163121,NA,0.322847,0.240956,95% CI,0.093488,0.008656,0.163411,0.308535,95% CI,-0.006253,0.157613,-0.254218,-0.081818,0.355394,0.006253
SNU,SNU,risk,6,Frequentist no-cure lognormal minus KM benchmark,KM benchmark,Frequentist no-cure lognormal,0.247209,95% CI,NA,0.163121,NA,0.322847,0.242799,95% CI,0.03621,0.190001,0.246622,0.330664,95% CI,-0.00441,0.055325,-0.113118,-0.001297,0.106821,0.00441
SNU,SNU,risk,7,Bayesian transition-only cure minus Frequentist mixture cure,Frequentist mixture cure,Bayesian transition-only cure,0.259345,95% CI,0.100485,0.009359,0.177099,0.332113,0.265275,95% CrI,0.035326,0.201339,0.265893,0.340987,95% uncertainty interval,0.00593,0.159616,-0.359314,0.090296,0.261858,0.00593
SNU,SNU,risk,7,Bayesian transition-only cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Bayesian transition-only cure,0.261475,95% CI,0.038799,0.205343,0.264871,0.356355,0.265275,95% CrI,0.035326,0.201339,0.265893,0.340987,95% uncertainty interval,0.0038,0.051054,-0.101848,0.001413,0.097542,0.0038
SNU,SNU,risk,7,Bayesian transition-only cure minus KM benchmark,KM benchmark,Bayesian transition-only cure,0.247209,95% CI,NA,0.163121,NA,0.322847,0.265275,95% CrI,0.035326,0.201339,0.265893,0.340987,95% uncertainty interval,0.018066,0.055168,-0.092059,0.018046,0.126067,0.018066
SNU,SNU,risk,7,Frequentist mixture cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Frequentist mixture cure,0.261475,95% CI,0.038799,0.205343,0.264871,0.356355,0.259345,95% CI,0.100485,0.009359,0.177099,0.332113,95% CI,-0.00213,0.159545,-0.262973,-0.088748,0.353757,0.00213
SNU,SNU,risk,7,Frequentist mixture cure minus KM benchmark,KM benchmark,Frequentist mixture cure,0.247209,95% CI,NA,0.163121,NA,0.322847,0.259345,95% CI,0.100485,0.009359,0.177099,0.332113,95% CI,0.012136,0.161489,-0.249028,-0.071356,0.384537,0.012136
SNU,SNU,risk,7,Frequentist no-cure lognormal minus KM benchmark,KM benchmark,Frequentist no-cure lognormal,0.247209,95% CI,NA,0.163121,NA,0.322847,0.261475,95% CI,0.038799,0.205343,0.264871,0.356355,95% CI,0.014266,0.056338,-0.093962,0.016409,0.127132,0.014266
SNU,SNU,risk,8,Bayesian transition-only cure minus Frequentist mixture cure,Frequentist mixture cure,Bayesian transition-only cure,0.275823,95% CI,0.106748,0.010057,0.187966,0.350923,0.280743,95% CrI,0.037458,0.213799,0.281248,0.362002,95% uncertainty interval,0.00492,0.166369,-0.352972,0.094681,0.281503,0.00492
SNU,SNU,risk,8,Bayesian transition-only cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Bayesian transition-only cure,0.278229,95% CI,0.041127,0.218472,0.281237,0.378175,0.280743,95% CrI,0.037458,0.213799,0.281248,0.362002,95% uncertainty interval,0.002514,0.056937,-0.113354,5.17e-4,0.109989,0.002514
SNU,SNU,risk,8,Bayesian transition-only cure minus KM benchmark,KM benchmark,Bayesian transition-only cure,0.32645,95% CI,NA,0.187884,NA,0.441373,0.280743,95% CrI,0.037458,0.213799,0.281248,0.362002,95% uncertainty interval,-0.045707,0.077682,-0.203392,-0.043703,0.098647,0.045707
SNU,SNU,risk,8,Frequentist mixture cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Frequentist mixture cure,0.278229,95% CI,0.041127,0.218472,0.281237,0.378175,0.275823,95% CI,0.106748,0.010057,0.187966,0.350923,95% CI,-0.002406,0.165071,-0.284365,-0.093753,0.349648,0.002406
SNU,SNU,risk,8,Frequentist mixture cure minus KM benchmark,KM benchmark,Frequentist mixture cure,0.32645,95% CI,NA,0.187884,NA,0.441373,0.275823,95% CI,0.106748,0.010057,0.187966,0.350923,95% CI,-0.050627,0.174131,-0.360413,-0.135378,0.310325,0.050627
SNU,SNU,risk,8,Frequentist no-cure lognormal minus KM benchmark,KM benchmark,Frequentist no-cure lognormal,0.32645,95% CI,NA,0.187884,NA,0.441373,0.278229,95% CI,0.041127,0.218472,0.281237,0.378175,95% CI,-0.048221,0.077874,-0.204417,-0.043203,0.097433,0.048221
SNU,SNU,risk,9,Bayesian transition-only cure minus Frequentist mixture cure,Frequentist mixture cure,Bayesian transition-only cure,0.290758,95% CI,0.112418,0.010653,0.19859,0.369287,0.294586,95% CrI,0.039428,0.225976,0.295367,0.38087,95% uncertainty interval,0.003828,0.167536,-0.354844,0.097391,0.294373,0.003828
SNU,SNU,risk,9,Bayesian transition-only cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Bayesian transition-only cure,0.293429,95% CI,0.043233,0.230357,0.296292,0.39884,0.294586,95% CrI,0.039428,0.225976,0.295367,0.38087,95% uncertainty interval,0.001157,0.058081,-0.116037,-0.002304,0.113199,0.001157
SNU,SNU,risk,9,Bayesian transition-only cure minus KM benchmark,KM benchmark,Bayesian transition-only cure,0.32645,95% CI,NA,0.187884,NA,0.441373,0.294586,95% CrI,0.039428,0.225976,0.295367,0.38087,95% uncertainty interval,-0.031864,0.080611,-0.200906,-0.033048,0.115925,0.031864
SNU,SNU,risk,9,Frequentist mixture cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Frequentist mixture cure,0.293429,95% CI,0.043233,0.230357,0.296292,0.39884,0.290758,95% CI,0.112418,0.010653,0.19859,0.369287,95% CI,-0.002671,0.16873,-0.296374,-0.096216,0.347225,0.002671
SNU,SNU,risk,9,Frequentist mixture cure minus KM benchmark,KM benchmark,Frequentist mixture cure,0.32645,95% CI,NA,0.187884,NA,0.441373,0.290758,95% CI,0.112418,0.010653,0.19859,0.369287,95% CI,-0.035692,0.17598,-0.359472,-0.126067,0.326363,0.035692
SNU,SNU,risk,9,Frequentist no-cure lognormal minus KM benchmark,KM benchmark,Frequentist no-cure lognormal,0.32645,95% CI,NA,0.187884,NA,0.441373,0.293429,95% CI,0.043233,0.230357,0.296292,0.39884,95% CI,-0.033021,0.080257,-0.19742,-0.030572,0.114603,0.033021
SNU,SNU,risk,10,Bayesian transition-only cure minus Frequentist mixture cure,Frequentist mixture cure,Bayesian transition-only cure,0.304417,95% CI,0.117595,0.011091,0.208188,0.386736,0.3071,95% CrI,0.04126,0.235138,0.30837,0.400652,95% uncertainty interval,0.002683,0.17521,-0.359186,0.09853,0.307666,0.002683
SNU,SNU,risk,10,Bayesian transition-only cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Bayesian transition-only cure,0.307343,95% CI,0.045149,0.240813,0.310138,0.41787,0.3071,95% CrI,0.04126,0.235138,0.30837,0.400652,95% uncertainty interval,-2.43e-4,0.061052,-0.119453,-0.001016,0.117157,2.43e-4
SNU,SNU,risk,10,Bayesian transition-only cure minus KM benchmark,KM benchmark,Bayesian transition-only cure,0.32645,95% CI,NA,0.187884,NA,0.441373,0.3071,95% CrI,0.04126,0.235138,0.30837,0.400652,95% uncertainty interval,-0.01935,0.079489,-0.176012,-0.019584,0.128737,0.01935
SNU,SNU,risk,10,Frequentist mixture cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Frequentist mixture cure,0.307343,95% CI,0.045149,0.240813,0.310138,0.41787,0.304417,95% CI,0.117595,0.011091,0.208188,0.386736,95% CI,-0.002926,0.175271,-0.306278,-0.102415,0.372282,0.002926
SNU,SNU,risk,10,Frequentist mixture cure minus KM benchmark,KM benchmark,Frequentist mixture cure,0.32645,95% CI,NA,0.187884,NA,0.441373,0.304417,95% CI,0.117595,0.011091,0.208188,0.386736,95% CI,-0.022033,0.183019,-0.355896,-0.11766,0.363483,0.022033
SNU,SNU,risk,10,Frequentist no-cure lognormal minus KM benchmark,KM benchmark,Frequentist no-cure lognormal,0.32645,95% CI,NA,0.187884,NA,0.441373,0.307343,95% CI,0.045149,0.240813,0.310138,0.41787,95% CI,-0.019107,0.080207,-0.180037,-0.017905,0.1321,0.019107
SNU,SNU,survival,1,Bayesian transition-only cure minus Frequentist mixture cure,Frequentist mixture cure,Bayesian transition-only cure,0.9161,95% CI,0.03401,0.884308,0.944387,0.996918,0.911346,95% CrI,0.016125,0.875475,0.911371,0.940823,95% uncertainty interval,-0.004754,0.074423,-0.096187,-0.030604,0.187572,0.004754
SNU,SNU,survival,1,Bayesian transition-only cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Bayesian transition-only cure,0.915829,95% CI,0.01678,0.876426,0.91237,0.941786,0.911346,95% CrI,0.016125,0.875475,0.911371,0.940823,95% uncertainty interval,-0.004483,0.024489,-0.046842,-2.75e-4,0.046846,0.004483
SNU,SNU,survival,1,Bayesian transition-only cure minus KM benchmark,KM benchmark,Bayesian transition-only cure,0.927246,95% CI,NA,0.891191,NA,0.96476,0.911346,95% CrI,0.016125,0.875475,0.911371,0.940823,95% uncertainty interval,-0.0159,0.027578,-0.066843,-0.015509,0.043523,0.0159
SNU,SNU,survival,1,Frequentist mixture cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Frequentist mixture cure,0.915829,95% CI,0.01678,0.876426,0.91237,0.941786,0.9161,95% CI,0.03401,0.884308,0.944387,0.996918,95% CI,2.71e-4,0.074767,-0.190392,0.029615,0.095684,2.71e-4
SNU,SNU,survival,1,Frequentist mixture cure minus KM benchmark,KM benchmark,Frequentist mixture cure,0.927246,95% CI,NA,0.891191,NA,0.96476,0.9161,95% CI,0.03401,0.884308,0.944387,0.996918,95% CI,-0.011146,0.075406,-0.202081,0.014747,0.087461,0.011146
SNU,SNU,survival,1,Frequentist no-cure lognormal minus KM benchmark,KM benchmark,Frequentist no-cure lognormal,0.927246,95% CI,NA,0.891191,NA,0.96476,0.915829,95% CI,0.01678,0.876426,0.91237,0.941786,95% CI,-0.011417,0.02789,-0.065533,-0.015521,0.045225,0.011417
SNU,SNU,survival,2,Bayesian transition-only cure minus Frequentist mixture cure,Frequentist mixture cure,Bayesian transition-only cure,0.868033,95% CI,0.052079,0.827165,0.910587,0.99511,0.860954,95% CrI,0.020739,0.818073,0.862152,0.90032,95% uncertainty interval,-0.007079,0.101694,-0.140808,-0.045357,0.249053,0.007079
SNU,SNU,survival,2,Bayesian transition-only cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Bayesian transition-only cure,0.867447,95% CI,0.022026,0.81551,0.863598,0.900457,0.860954,95% CrI,0.020739,0.818073,0.862152,0.90032,95% uncertainty interval,-0.006493,0.030638,-0.058727,-9.42e-4,0.062123,0.006493
SNU,SNU,survival,2,Bayesian transition-only cure minus KM benchmark,KM benchmark,Bayesian transition-only cure,0.878471,95% CI,NA,0.831797,NA,0.927763,0.860954,95% CrI,0.020739,0.818073,0.862152,0.90032,95% uncertainty interval,-0.017517,0.034011,-0.078983,-0.014547,0.054549,0.017517
SNU,SNU,survival,2,Frequentist mixture cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Frequentist mixture cure,0.867447,95% CI,0.022026,0.81551,0.863598,0.900457,0.868033,95% CI,0.052079,0.827165,0.910587,0.99511,95% CI,5.86e-4,0.102091,-0.254363,0.043936,0.140356,5.86e-4
SNU,SNU,survival,2,Frequentist mixture cure minus KM benchmark,KM benchmark,Frequentist mixture cure,0.878471,95% CI,NA,0.831797,NA,0.927763,0.868033,95% CI,0.052079,0.827165,0.910587,0.99511,95% CI,-0.010438,0.103388,-0.267321,0.029628,0.135304,0.010438
SNU,SNU,survival,2,Frequentist no-cure lognormal minus KM benchmark,KM benchmark,Frequentist no-cure lognormal,0.878471,95% CI,NA,0.831797,NA,0.927763,0.867447,95% CI,0.022026,0.81551,0.863598,0.900457,95% CI,-0.011024,0.034434,-0.080295,-0.014531,0.055374,0.011024
SNU,SNU,survival,3,Bayesian transition-only cure minus Frequentist mixture cure,Frequentist mixture cure,Bayesian transition-only cure,0.832504,95% CI,0.065536,0.782282,0.886658,0.99368,0.824598,95% CrI,0.024422,0.775928,0.824532,0.869344,95% uncertainty interval,-0.007906,0.117915,-0.177446,-0.057492,0.288805,0.007906
SNU,SNU,survival,3,Bayesian transition-only cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Bayesian transition-only cure,0.831591,95% CI,0.02632,0.769435,0.827416,0.871212,0.824598,95% CrI,0.024422,0.775928,0.824532,0.869344,95% uncertainty interval,-0.006993,0.035411,-0.072306,-0.003213,0.064055,0.006993
SNU,SNU,survival,3,Bayesian transition-only cure minus KM benchmark,KM benchmark,Bayesian transition-only cure,0.831029,95% CI,NA,0.776115,NA,0.889829,0.824598,95% CrI,0.024422,0.775928,0.824532,0.869344,95% uncertainty interval,-0.006431,0.038963,-0.081207,-0.007729,0.070283,0.006431
SNU,SNU,survival,3,Frequentist mixture cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Frequentist mixture cure,0.831591,95% CI,0.02632,0.769435,0.827416,0.871212,0.832504,95% CI,0.065536,0.782282,0.886658,0.99368,95% CI,9.13e-4,0.117865,-0.292121,0.056302,0.175339,9.13e-4
SNU,SNU,survival,3,Frequentist mixture cure minus KM benchmark,KM benchmark,Frequentist mixture cure,0.831029,95% CI,NA,0.776115,NA,0.889829,0.832504,95% CI,0.065536,0.782282,0.886658,0.99368,95% CI,0.001475,0.119008,-0.291691,0.050899,0.172795,0.001475
SNU,SNU,survival,3,Frequentist no-cure lognormal minus KM benchmark,KM benchmark,Frequentist no-cure lognormal,0.831029,95% CI,NA,0.776115,NA,0.889829,0.831591,95% CI,0.02632,0.769435,0.827416,0.871212,95% CI,5.62e-4,0.04001,-0.07796,-0.004519,0.076313,5.62e-4
