dataset_variant,dataset_group,probability_type,horizon_year,comparison,model_a,model_b,estimate_a,interval_type_a,uncertainty_sd_a,interval_lower_95_a,interval_median_50_a,interval_upper_95_a,estimate_b,interval_type_b,uncertainty_sd_b,interval_lower_95_b,interval_median_50_b,interval_upper_95_b,delta_interval_type,delta_probability,delta_uncertainty_sd,delta_interval_lower_95,delta_interval_median_50,delta_interval_upper_95,abs_delta_probability
PNU,PNU,survival,2,Bayesian transition-only cure minus Frequentist mixture cure,Frequentist mixture cure,Bayesian transition-only cure,0.696506,95% CI,0.070101,0.578558,0.721703,0.858806,0.710474,95% CrI,0.069144,0.563286,0.711791,0.843555,95% uncertainty interval,0.013968,0.106595,-0.218549,-0.012188,0.198127,0.013968
PNU,PNU,survival,2,Bayesian transition-only cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Bayesian transition-only cure,0.688397,95% CI,0.083809,0.463286,0.679104,0.792148,0.710474,95% CrI,0.069144,0.563286,0.711791,0.843555,95% uncertainty interval,0.022077,0.108761,-0.187309,0.027465,0.245561,0.022077
PNU,PNU,survival,2,Bayesian transition-only cure minus KM benchmark,KM benchmark,Bayesian transition-only cure,0.701181,95% CI,NA,0.566818,NA,0.867394,0.710474,95% CrI,0.069144,0.563286,0.711791,0.843555,95% uncertainty interval,0.009293,0.11016,-0.208064,0.009277,0.223726,0.009293
PNU,PNU,survival,2,Frequentist mixture cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Frequentist mixture cure,0.688397,95% CI,0.083809,0.463286,0.679104,0.792148,0.696506,95% CI,0.070101,0.578558,0.721703,0.858806,95% CI,0.008109,0.112091,-0.175643,0.037243,0.258244,0.008109
PNU,PNU,survival,2,Frequentist mixture cure minus KM benchmark,KM benchmark,Frequentist mixture cure,0.701181,95% CI,NA,0.566818,NA,0.867394,0.696506,95% CI,0.070101,0.578558,0.721703,0.858806,95% CI,-0.004675,0.113784,-0.201579,0.01669,0.245649,0.004675
PNU,PNU,survival,2,Frequentist no-cure lognormal minus KM benchmark,KM benchmark,Frequentist no-cure lognormal,0.701181,95% CI,NA,0.566818,NA,0.867394,0.688397,95% CI,0.083809,0.463286,0.679104,0.792148,95% CI,-0.012784,0.11711,-0.243285,-0.020461,0.211985,0.012784
PNU,PNU,survival,3,Bayesian transition-only cure minus Frequentist mixture cure,Frequentist mixture cure,Bayesian transition-only cure,0.666812,95% CI,0.077329,0.546983,0.693942,0.851615,0.674263,95% CrI,0.078765,0.505482,0.674899,0.829018,95% uncertainty interval,0.007451,0.119,-0.250224,-0.017492,0.210277,0.007451
PNU,PNU,survival,3,Bayesian transition-only cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Bayesian transition-only cure,0.63032,95% CI,0.094854,0.380543,0.624102,0.748377,0.674263,95% CrI,0.078765,0.505482,0.674899,0.829018,95% uncertainty interval,0.043943,0.126327,-0.192526,0.051852,0.297529,0.043943
PNU,PNU,survival,3,Bayesian transition-only cure minus KM benchmark,KM benchmark,Bayesian transition-only cure,0.701181,95% CI,NA,0.566818,NA,0.867394,0.674263,95% CrI,0.078765,0.505482,0.674899,0.829018,95% uncertainty interval,-0.026918,0.120461,-0.26332,-0.022755,0.207861,0.026918
PNU,PNU,survival,3,Frequentist mixture cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Frequentist mixture cure,0.63032,95% CI,0.094854,0.380543,0.624102,0.748377,0.666812,95% CI,0.077329,0.546983,0.693942,0.851615,95% CI,0.036492,0.123127,-0.17079,0.068345,0.309357,0.036492
PNU,PNU,survival,3,Frequentist mixture cure minus KM benchmark,KM benchmark,Frequentist mixture cure,0.701181,95% CI,NA,0.566818,NA,0.867394,0.666812,95% CI,0.077329,0.546983,0.693942,0.851615,95% CI,-0.034369,0.118162,-0.235267,-0.008491,0.228679,0.034369
PNU,PNU,survival,3,Frequentist no-cure lognormal minus KM benchmark,KM benchmark,Frequentist no-cure lognormal,0.701181,95% CI,NA,0.566818,NA,0.867394,0.63032,95% CI,0.094854,0.380543,0.624102,0.748377,95% CI,-0.070861,0.125112,-0.319412,-0.074611,0.171838,0.070861
PNU,PNU,survival,4,Bayesian transition-only cure minus Frequentist mixture cure,Frequentist mixture cure,Bayesian transition-only cure,0.649271,95% CI,0.082462,0.52267,0.67581,0.848777,0.650321,95% CrI,0.086453,0.4682,0.649913,0.816572,95% uncertainty interval,0.00105,0.130396,-0.276514,-0.022819,0.240071,0.00105
PNU,PNU,survival,4,Bayesian transition-only cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Bayesian transition-only cure,0.587129,95% CI,0.102,0.320757,0.583812,0.718933,0.650321,95% CrI,0.086453,0.4682,0.649913,0.816572,95% uncertainty interval,0.063192,0.135965,-0.207774,0.059523,0.31613,0.063192
PNU,PNU,survival,4,Bayesian transition-only cure minus KM benchmark,KM benchmark,Bayesian transition-only cure,0.701181,95% CI,NA,0.566818,NA,0.867394,0.650321,95% CrI,0.086453,0.4682,0.649913,0.816572,95% uncertainty interval,-0.05086,0.126181,-0.295062,-0.052934,0.195175,0.05086
PNU,PNU,survival,4,Frequentist mixture cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Frequentist mixture cure,0.587129,95% CI,0.102,0.320757,0.583812,0.718933,0.649271,95% CI,0.082462,0.52267,0.67581,0.848777,95% CI,0.062142,0.133794,-0.180461,0.087401,0.335985,0.062142
PNU,PNU,survival,4,Frequentist mixture cure minus KM benchmark,KM benchmark,Frequentist mixture cure,0.701181,95% CI,NA,0.566818,NA,0.867394,0.649271,95% CI,0.082462,0.52267,0.67581,0.848777,95% CI,-0.05191,0.12142,-0.256513,-0.027327,0.2186,0.05191
PNU,PNU,survival,4,Frequentist no-cure lognormal minus KM benchmark,KM benchmark,Frequentist no-cure lognormal,0.701181,95% CI,NA,0.566818,NA,0.867394,0.587129,95% CI,0.102,0.320757,0.583812,0.718933,95% CI,-0.114052,0.129305,-0.36228,-0.112911,0.146683,0.114052
PNU,PNU,survival,5,Bayesian transition-only cure minus Frequentist mixture cure,Frequentist mixture cure,Bayesian transition-only cure,0.637701,95% CI,0.086388,0.508278,0.662698,0.845992,0.632953,95% CrI,0.092805,0.445169,0.634929,0.809338,95% uncertainty interval,-0.004748,0.132326,-0.27947,-0.029978,0.235365,0.004748
PNU,PNU,survival,5,Bayesian transition-only cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Bayesian transition-only cure,0.552854,95% CI,0.106928,0.280974,0.551877,0.692922,0.632953,95% CrI,0.092805,0.445169,0.634929,0.809338,95% uncertainty interval,0.080099,0.143584,-0.203736,0.082367,0.365105,0.080099
PNU,PNU,survival,5,Bayesian transition-only cure minus KM benchmark,KM benchmark,Bayesian transition-only cure,0.701181,95% CI,NA,0.566818,NA,0.867394,0.632953,95% CrI,0.092805,0.445169,0.634929,0.809338,95% uncertainty interval,-0.068228,0.129994,-0.317425,-0.064435,0.184845,0.068228
PNU,PNU,survival,5,Frequentist mixture cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Frequentist mixture cure,0.552854,95% CI,0.106928,0.280974,0.551877,0.692922,0.637701,95% CI,0.086388,0.508278,0.662698,0.845992,95% CI,0.084847,0.14182,-0.164187,0.109781,0.382681,0.084847
PNU,PNU,survival,5,Frequentist mixture cure minus KM benchmark,KM benchmark,Frequentist mixture cure,0.701181,95% CI,NA,0.566818,NA,0.867394,0.637701,95% CI,0.086388,0.508278,0.662698,0.845992,95% CI,-0.06348,0.126189,-0.288702,-0.037526,0.205886,0.06348
PNU,PNU,survival,5,Frequentist no-cure lognormal minus KM benchmark,KM benchmark,Frequentist no-cure lognormal,0.701181,95% CI,NA,0.566818,NA,0.867394,0.552854,95% CI,0.106928,0.280974,0.551877,0.692922,95% CI,-0.148327,0.137271,-0.415775,-0.1487,0.120058,0.148327
PNU,PNU,survival,6,Bayesian transition-only cure minus Frequentist mixture cure,Frequentist mixture cure,Bayesian transition-only cure,0.629523,95% CI,0.089533,0.495271,0.653272,0.845533,0.61961,95% CrI,0.098174,0.423102,0.622406,0.804546,95% uncertainty interval,-0.009913,0.138697,-0.298649,-0.032687,0.248887,0.009913
PNU,PNU,survival,6,Bayesian transition-only cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Bayesian transition-only cure,0.524541,95% CI,0.110463,0.247521,0.524829,0.673193,0.61961,95% CrI,0.098174,0.423102,0.622406,0.804546,95% uncertainty interval,0.095069,0.144761,-0.196149,0.087305,0.370927,0.095069
PNU,PNU,survival,6,Bayesian transition-only cure minus KM benchmark,KM benchmark,Bayesian transition-only cure,0.701181,95% CI,NA,0.566818,NA,0.867394,0.61961,95% CrI,0.098174,0.423102,0.622406,0.804546,95% uncertainty interval,-0.081571,0.128755,-0.323363,-0.077931,0.179178,0.081571
PNU,PNU,survival,6,Frequentist mixture cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Frequentist mixture cure,0.524541,95% CI,0.110463,0.247521,0.524829,0.673193,0.629523,95% CI,0.089533,0.495271,0.653272,0.845533,95% CI,0.104982,0.14343,-0.15929,0.122845,0.394708,0.104982
PNU,PNU,survival,6,Frequentist mixture cure minus KM benchmark,KM benchmark,Frequentist mixture cure,0.701181,95% CI,NA,0.566818,NA,0.867394,0.629523,95% CI,0.089533,0.495271,0.653272,0.845533,95% CI,-0.071658,0.131384,-0.29572,-0.044723,0.207399,0.071658
PNU,PNU,survival,6,Frequentist no-cure lognormal minus KM benchmark,KM benchmark,Frequentist no-cure lognormal,0.701181,95% CI,NA,0.566818,NA,0.867394,0.524541,95% CI,0.110463,0.247521,0.524829,0.673193,95% CI,-0.17664,0.137747,-0.432165,-0.164375,0.101867,0.17664
PNU,PNU,survival,7,Bayesian transition-only cure minus Frequentist mixture cure,Frequentist mixture cure,Bayesian transition-only cure,0.623458,95% CI,0.092133,0.484432,0.646043,0.844943,0.60895,95% CrI,0.102792,0.402732,0.612918,0.801137,95% uncertainty interval,-0.014508,0.141005,-0.298393,-0.032848,0.244763,0.014508
PNU,PNU,survival,7,Bayesian transition-only cure minus Frequentist no-cure lognormal,Frequentist no-cure lognormal,Bayesian transition-only cure,0.5005,95% CI,0.113065,0.219648,0.502318,0.654761,0.60895,95% CrI,0.102792,0.402732,0.612918,0.801137,95% uncertainty interval,0.10845,0.151118,-0.192219,0.103231,0.38989,0.10845
