dataset,dataset_label,plot_dataset_label,model_id,prior_branch,site_adjustment_flag,risk_scale,time_horizon_year,susceptible_fraction,susceptible_fraction_sd,susceptible_fraction_q025,susceptible_fraction_q50,susceptible_fraction_q975,cure_fraction,cure_fraction_sd,cure_fraction_q025,cure_fraction_q50,cure_fraction_q975,overall_survival_prob,overall_survival_prob_sd,overall_survival_prob_q025,overall_survival_prob_q50,overall_survival_prob_q975,overall_risk_prob,overall_risk_prob_sd,overall_risk_prob_q025,overall_risk_prob_q50,overall_risk_prob_q975,susceptible_only_survival_prob,susceptible_only_survival_prob_sd,susceptible_only_survival_prob_q025,susceptible_only_survival_prob_q50,susceptible_only_survival_prob_q975,susceptible_only_risk_prob,susceptible_only_risk_prob_sd,susceptible_only_risk_prob_q025,susceptible_only_risk_prob_q50,susceptible_only_risk_prob_q975,n_subjects,horizon_year
SNU,SNU,SNU,SNU-L0-LN-ANCH-NOSITE,anchor_informed,FALSE,transition_only_main,1,0.7531526247799224,0.15845154256879265,0.4012772900520345,0.7704490106746416,0.9858260351273248,0.24684737522007755,0.1584515425687927,0.014173964872675292,0.2295509893253585,0.5987227099479655,0.9134471754234113,0.0162380688860909,0.8753329807407315,0.9142804631398653,0.9418399889626019,0.08655282457658876,0.0162380688860909,0.058160011037398214,0.08571953686013462,0.12466701925926855,0.8762097478997951,0.04489622836845937,0.7422997268478561,0.8877147625003954,0.9316424510853778,0.12379025210020494,0.044896228368459384,0.06835754891462238,0.11228523749960473,0.25770027315214394,208,1
SNU,SNU,SNU,SNU-L0-LN-ANCH-NOSITE,anchor_informed,FALSE,transition_only_main,2,0.7531526247799224,0.15845154256879265,0.4012772900520345,0.7704490106746416,0.9858260351273248,0.24684737522007755,0.1584515425687927,0.014173964872675292,0.2295509893253585,0.5987227099479655,0.8639761087560137,0.02092821981540943,0.816268122985272,0.8653436370913978,0.9024304999998614,0.13602389124398626,0.02092821981540943,0.09756950000013863,0.13465636290860222,0.18373187701472804,0.8066352072663455,0.06334953706033424,0.6218792026183322,0.8235675874594833,0.8870656964751095,0.19336479273365448,0.06334953706033424,0.11293430352489059,0.17643241254051667,0.3781207973816678,208,2
SNU,SNU,SNU,SNU-L0-LN-ANCH-NOSITE,anchor_informed,FALSE,transition_only_main,3,0.7531526247799224,0.15845154256879265,0.4012772900520345,0.7704490106746416,0.9858260351273248,0.24684737522007755,0.1584515425687927,0.014173964872675292,0.2295509893253585,0.5987227099479655,0.8281515495806403,0.024445488721667154,0.7740915672592263,0.829468305411566,0.8758666696705538,0.1718484504193597,0.024445488721667154,0.12413333032944635,0.17053169458843398,0.22590843274077374,0.7567672124054311,0.07469500680523714,0.5442101285247489,0.7755677729040262,0.854592995490087,0.24323278759456887,0.07469500680523712,0.14540700450991312,0.2244322270959737,0.4557898714752512,208,3
SNU,SNU,SNU,SNU-L0-LN-ANCH-NOSITE,anchor_informed,FALSE,transition_only_main,4,0.7531526247799224,0.15845154256879265,0.4012772900520345,0.7704490106746416,0.9858260351273248,0.24684737522007755,0.1584515425687927,0.014173964872675292,0.2295509893253585,0.5987227099479655,0.7998602485694868,0.027441737236382477,0.7423897262108359,0.80081696123556,0.8512842923665629,0.20013975143051316,0.027441737236382473,0.14871570763343728,0.19918303876444005,0.25761027378916407,0.7176707578712413,0.08251696273881871,0.48933129280075316,0.7384830586092405,0.8277971787939534,0.28232924212875865,0.08251696273881871,0.17220282120604666,0.26151694139075954,0.5106687071992471,208,4
SNU,SNU,SNU,SNU-L0-LN-ANCH-NOSITE,anchor_informed,FALSE,transition_only_main,5,0.7531526247799224,0.15845154256879265,0.4012772900520345,0.7704490106746416,0.9858260351273248,0.24684737522007755,0.1584515425687927,0.014173964872675292,0.2295509893253585,0.5987227099479655,0.7764404822243757,0.030101278487820952,0.7118618980251599,0.7763349157405826,0.8300008208271366,0.22355951777562433,0.030101278487820952,0.16999917917286347,0.2236650842594175,0.28813810197484013,0.685488693753445,0.08825373275568749,0.4470228355475554,0.7072495750427135,0.8033631967929831,0.31451130624655504,0.08825373275568747,0.19663680320701687,0.2927504249572865,0.5529771644524447,208,5
SNU,SNU,SNU,SNU-L0-LN-ANCH-NOSITE,anchor_informed,FALSE,transition_only_main,6,0.7531526247799224,0.15845154256879265,0.4012772900520345,0.7704490106746416,0.9858260351273248,0.24684737522007755,0.1584515425687927,0.014173964872675292,0.2295509893253585,0.5987227099479655,0.7564587405011372,0.03250846411613129,0.6891271322640842,0.7558939887779421,0.8157293541339137,0.24354125949886282,0.032508464116131286,0.18427064586608646,0.24410601122205788,0.3108728677359158,0.6581576020080023,0.09262905777490582,0.4141178810077172,0.6803124273265269,0.783030376094393,0.3418423979919976,0.09262905777490582,0.21696962390560703,0.3196875726734732,0.5858821189922829,208,6
SNU,SNU,SNU,SNU-L0-LN-ANCH-NOSITE,anchor_informed,FALSE,transition_only_main,7,0.7531526247799224,0.15845154256879265,0.4012772900520345,0.7704490106746416,0.9858260351273248,0.24684737522007755,0.1584515425687927,0.014173964872675292,0.2295509893253585,0.5987227099479655,0.7390443357028678,0.034713279081302825,0.6678556781763314,0.7387861138896081,0.8006740528922316,0.2609556642971323,0.034713279081302825,0.1993259471077684,0.26121388611039187,0.3321443218236687,0.6344311239366986,0.0960568021236639,0.3863799071444682,0.6571809394293578,0.7665633238243877,0.3655688760633014,0.0960568021236639,0.23343667617561223,0.3428190605706422,0.6136200928555318,208,7
SNU,SNU,SNU,SNU-L0-LN-ANCH-NOSITE,anchor_informed,FALSE,transition_only_main,8,0.7531526247799224,0.15845154256879265,0.4012772900520345,0.7704490106746416,0.9858260351273248,0.24684737522007755,0.1584515425687927,0.014173964872675292,0.2295509893253585,0.5987227099479655,0.723625019219658,0.03674979192248408,0.648936339231706,0.7236611334932559,0.7901347617941505,0.27637498078034195,0.03674979192248408,0.20986523820584946,0.2763388665067442,0.35106366076829415,0.6134939630736825,0.09879445225192109,0.3625510331266296,0.6361750019216166,0.7512342163304684,0.3865060369263175,0.09879445225192109,0.24876578366953156,0.3638249980783834,0.6374489668733705,208,8
SNU,SNU,SNU,SNU-L0-LN-ANCH-NOSITE,anchor_informed,FALSE,transition_only_main,9,0.7531526247799224,0.15845154256879265,0.4012772900520345,0.7704490106746416,0.9858260351273248,0.24684737522007755,0.1584515425687927,0.014173964872675292,0.2295509893253585,0.5987227099479655,0.7098029330306123,0.038643115374563164,0.6333076389455883,0.7103325919917809,0.7813599518643164,0.29019706696938774,0.038643115374563164,0.21864004813568355,0.2896674080082192,0.36669236105441183,0.5947816082273174,0.10101217713608578,0.3413396725800701,0.6183654312085449,0.7369322935853939,0.40521839177268265,0.10101217713608576,0.26306770641460614,0.3816345687914552,0.6586603274199299,208,9
SNU,SNU,SNU,SNU-L0-LN-ANCH-NOSITE,anchor_informed,FALSE,transition_only_main,10,0.7531526247799224,0.15845154256879265,0.4012772900520345,0.7704490106746416,0.9858260351273248,0.24684737522007755,0.1584515425687927,0.014173964872675292,0.2295509893253585,0.5987227099479655,0.6972895086767021,0.040412655699256145,0.6171213413144121,0.6980976759303621,0.7733798818608673,0.30271049132329786,0.040412655699256145,0.2266201181391329,0.3019023240696379,0.3828786586855879,0.5778861061897361,0.10282768986930184,0.3226310113775823,0.601827378218049,0.7236665773221229,0.4221138938102638,0.10282768986930181,0.2763334226778771,0.39817262178195106,0.6773689886224176,208,10
