dataset,benchmark_id,benchmark_label,benchmark_scope,site_branch,subgroup_kind,subgroup_variable,horizon_year,risk,survival,n_subjects,source_stage,model_class,model_block,family,model_id,formula_name,formula_label,interaction_branch,risk_lower,risk_upper,survival_lower,survival_upper,estimate_type,reporting_status,reporting_note,support_label,support_priority,primary_supported_flag,interpretation_note,risk_set_size,event_count_by_horizon,known_nonevent_by_horizon,max_followup_year,instability_marker,model_class_label,model_display_label,model_family,latency_type,admissible_flag,admissibility_reasons,screening_flag,screening_note
PNU,NA,NA,NA,site_free,NA,NA,3,0.41378019375197306,0.5862198062480269,54,Stage 5,no_cure,non_cure,weibull,PNU__base__weibull,base,Base,no_age_sex_interaction,NA,NA,NA,NA,mean_subject_predicted_risk,reported,Stage 5 mean subject-level predicted risk,projection,4,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,0,12,0,2.6694045174538,late_tail_projection,No-cure,No-cure: weibull,weibull,NA,NA,NA,NA,NA
PNU,NA,NA,NA,site_free,NA,NA,4,0.4781770354277421,0.521822964572258,54,Stage 5,no_cure,non_cure,weibull,PNU__base__weibull,base,Base,no_age_sex_interaction,NA,NA,NA,NA,mean_subject_predicted_risk,reported,Stage 5 mean subject-level predicted risk,projection,4,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,0,12,0,2.6694045174538,late_tail_projection,No-cure,No-cure: weibull,weibull,NA,NA,NA,NA,NA
PNU,NA,NA,NA,site_free,NA,NA,5,0.5308891447670986,0.4691108552329014,54,Stage 5,no_cure,non_cure,weibull,PNU__base__weibull,base,Base,no_age_sex_interaction,NA,NA,NA,NA,mean_subject_predicted_risk,reported,Stage 5 mean subject-level predicted risk,projection,4,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,0,12,0,2.6694045174538,late_tail_projection,No-cure,No-cure: weibull,weibull,NA,NA,NA,NA,NA
PNU,NA,NA,NA,site_free,NA,NA,6,0.5751200366318358,0.4248799633681642,54,Stage 5,no_cure,non_cure,weibull,PNU__base__weibull,base,Base,no_age_sex_interaction,NA,NA,NA,NA,mean_subject_predicted_risk,reported,Stage 5 mean subject-level predicted risk,projection,4,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,0,12,0,2.6694045174538,late_tail_projection,No-cure,No-cure: weibull,weibull,NA,NA,NA,NA,NA
PNU,NA,NA,NA,site_free,NA,NA,7,0.6128913373568566,0.3871086626431433,54,Stage 5,no_cure,non_cure,weibull,PNU__base__weibull,base,Base,no_age_sex_interaction,NA,NA,NA,NA,mean_subject_predicted_risk,reported,Stage 5 mean subject-level predicted risk,projection,4,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,0,12,0,2.6694045174538,late_tail_projection,No-cure,No-cure: weibull,weibull,NA,NA,NA,NA,NA
PNU,NA,NA,NA,site_free,NA,NA,8,0.6455771552950861,0.354422844704914,54,Stage 5,no_cure,non_cure,weibull,PNU__base__weibull,base,Base,no_age_sex_interaction,NA,NA,NA,NA,mean_subject_predicted_risk,reported,Stage 5 mean subject-level predicted risk,projection,4,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,0,12,0,2.6694045174538,late_tail_projection,No-cure,No-cure: weibull,weibull,NA,NA,NA,NA,NA
PNU,NA,NA,NA,site_free,NA,NA,9,0.6741604639556962,0.3258395360443038,54,Stage 5,no_cure,non_cure,weibull,PNU__base__weibull,base,Base,no_age_sex_interaction,NA,NA,NA,NA,mean_subject_predicted_risk,reported,Stage 5 mean subject-level predicted risk,projection,4,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,0,12,0,2.6694045174538,late_tail_projection,No-cure,No-cure: weibull,weibull,NA,NA,NA,NA,NA
PNU,NA,NA,NA,site_free,NA,NA,10,0.6993713135280125,0.3006286864719875,54,Stage 5,no_cure,non_cure,weibull,PNU__base__weibull,base,Base,no_age_sex_interaction,NA,NA,NA,NA,mean_subject_predicted_risk,reported,Stage 5 mean subject-level predicted risk,projection,4,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,0,12,0,2.6694045174538,late_tail_projection,No-cure,No-cure: weibull,weibull,NA,NA,NA,NA,NA
PNU,NA,NA,NA,site_free,NA,NA,1,0.22288675667451577,0.7771132433254843,54,Stage 5,no_cure,non_cure,lognormal,PNU__base__lognormal,base,Base,no_age_sex_interaction,NA,NA,NA,NA,mean_subject_predicted_risk,reported,Stage 5 mean subject-level predicted risk,primary_supported,1,TRUE,Common comparison horizon retained for cross-model comparability.,28,8,28,2.6694045174538,primary_supported_window,No-cure,No-cure: lognormal,lognormal,NA,NA,NA,NA,NA
PNU,NA,NA,NA,site_free,NA,NA,2,0.3116027953439274,0.6883972046560726,54,Stage 5,no_cure,non_cure,lognormal,PNU__base__lognormal,base,Base,no_age_sex_interaction,NA,NA,NA,NA,mean_subject_predicted_risk,reported,Stage 5 mean subject-level predicted risk,sensitivity,3,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,1,12,1,2.6694045174538,limited_support_window,No-cure,No-cure: lognormal,lognormal,NA,NA,NA,NA,NA
