dataset,source_stage,model_class,model_class_label,model_block,family,model_id,benchmark_id,formula_name,formula_label,site_branch,interaction_branch,model_display_label,has_risk_rows,has_threshold_rows,has_auxiliary_rows,has_delta_rows,n_supported_horizons
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-L0S0-E,NA,base,Base,site_free,no_age_sex_interaction,Bayesian cure: other,TRUE,TRUE,FALSE,FALSE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-L0S0-LL,merged__base__coxph,base,Base,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-L0S0-LL,merged__base__exponential,base,Base,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-L0S0-LL,merged__base__loglogistic,base,Base,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-L0S0-LL,merged__base__lognormal,base,Base,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-L0S0-LL,merged__base__weibull,base,Base,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-L0S0-LL,NA,base,Base,site_free,no_age_sex_interaction,Bayesian cure: other,TRUE,TRUE,FALSE,FALSE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-L0S0-LN,merged__base__coxph,base,Base,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-L0S0-LN,merged__base__exponential,base,Base,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-L0S0-LN,merged__base__loglogistic,base,Base,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-L0S0-LN,merged__base__lognormal,base,Base,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-L0S0-LN,merged__base__weibull,base,Base,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-L0S0-LN,NA,base,Base,site_free,no_age_sex_interaction,Bayesian cure: other,TRUE,TRUE,FALSE,FALSE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-L0S0-W,merged__base__coxph,base,Base,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
merged,Stage 8,bayesian_cure,Bayesian cure,bayesian_cure,other,MERGED-L0S0-W,merged__base__exponential,base,Base,site_free,no_age_sex_interaction,Bayesian cure: other,FALSE,FALSE,FALSE,TRUE,10
