dataset,dataset_label,source_dataset,family,formula_name,site_adjustment_flag,n_subjects,n_transition,n_censored,overall_risk_5y,overall_risk_10y,cure_fraction,susceptible_fraction,susceptible_weighted_subject_latency_median_year,cohort_uncured_median_latency_year,latency_scale,loglik,aic,optimizer_method,convergence_code,warnings_text,fit_ok,scenario_type,removal_scope,removal_rank,removed_ids,removed_n,removed_max_followup_year,removed_status_mix,baseline_overall_risk_5y,baseline_overall_risk_10y,baseline_cure_fraction,baseline_weighted_subject_latency_median,baseline_cohort_uncured_median,baseline_latency_scale,delta_overall_risk_5y,delta_overall_risk_10y,delta_cure_fraction,delta_weighted_subject_latency_median,delta_cohort_uncured_median,delta_latency_scale,abs_delta_cure_fraction,abs_delta_weighted_subject_latency_median,abs_delta_cohort_uncured_median
SNU,SNU,SNU,lognormal,base,FALSE,206,38,168,0.2185317362515916,0.3007921572317678,0.11305371267148143,0.8869462873285185,30.992392437346155,26.547275743766466,2.5244729237747885,-145.84546918467777,305.69093836935554,Nelder-Mead,0,NA,TRUE,leave_last_k_out,late_censored,2,SNU_21049 | SNU_21019,2,10.105407255304586,right_censoring,0.22024562483236138,0.30467401289347307,0.024038460386452083,36.738586236887905,35.828642057371674,2.6251966466434604,-0.0017138885807697624,-0.0038818556617052913,0.08901525228502935,-5.74619379954175,-9.281366313605208,-0.10072372286867193,0.08901525228502935,5.74619379954175,9.281366313605208
SNU,SNU,SNU,lognormal,base,FALSE,205,38,167,0.21651237342812446,0.29790513090311344,0.10318617784628414,0.8968138221537159,31.474512342728723,29.582303143339352,2.5779899456171216,-145.67980212685055,305.3596042537011,Nelder-Mead,0,NA,TRUE,leave_last_k_out,late_censored,3,SNU_21049 | SNU_21019 | SNU_21020,3,10.105407255304586,right_censoring,0.22024562483236138,0.30467401289347307,0.024038460386452083,36.738586236887905,35.828642057371674,2.6251966466434604,-0.0037332514042369147,-0.006768881990359632,0.07914771745983207,-5.264073894159182,-6.2463389140323216,-0.04720670102633884,0.07914771745983207,5.264073894159182,6.2463389140323216
SNU,SNU,SNU,lognormal,base,FALSE,203,38,165,0.23003876767078266,0.3183174985410127,0.024630541705269612,0.9753694582947305,32.422075072160425,31.293172694336118,2.5615287570086616,-144.21543198191395,302.4308639638279,Nelder-Mead,0,NA,TRUE,leave_last_k_out,late_censored,5,SNU_21049 | SNU_21019 | SNU_21020 | SNU_21029 | SNU_21024,5,10.105407255304586,right_censoring,0.22024562483236138,0.30467401289347307,0.024038460386452083,36.738586236887905,35.828642057371674,2.6251966466434604,0.009793142838421282,0.013643485647539644,5.920813188175292e-4,-4.31651116472748,-4.535469363035556,-0.06366788963479886,5.920813188175292e-4,4.31651116472748,4.535469363035556
SNU,SNU,SNU,lognormal,base,FALSE,204,38,166,0.22770819612360682,0.31501986644914237,0.028121043493820826,0.9718789565061792,33.085865730671834,31.910244712439784,2.5724581475095505,-144.59242700110977,303.18485400221954,BFGS,0,NA,TRUE,leave_last_k_out,late_censored,4,SNU_21049 | SNU_21019 | SNU_21020 | SNU_21029,4,10.105407255304586,right_censoring,0.22024562483236138,0.30467401289347307,0.024038460386452083,36.738586236887905,35.828642057371674,2.6251966466434604,0.007462571291245446,0.010345853555669304,0.004082583107368743,-3.6527205062160704,-3.91839734493189,-0.05273849913390993,0.004082583107368743,3.6527205062160704,3.91839734493189
SNU,SNU,SNU,lognormal,base,FALSE,207,38,169,0.22207364904030297,0.3071517897884861,0.037452681081911,0.962547318918089,34.688150636881794,33.29885893236736,2.5947030723074462,-145.23794948976447,304.47589897952895,BFGS,0,NA,TRUE,leave_last_k_out,late_censored,1,SNU_21049,1,10.105407255304586,right_censoring,0.22024562483236138,0.30467401289347307,0.024038460386452083,36.738586236887905,35.828642057371674,2.6251966466434604,0.001828024207941592,0.0024777768950130508,0.013414220695458917,-2.050435600006111,-2.5297831250043146,-0.030493574336014184,0.013414220695458917,2.050435600006111,2.5297831250043146
SNU,SNU,SNU,lognormal,base,FALSE,203,33,170,0.19845670398443913,0.2409723511930467,0.6739052387129145,0.3260947612870855,3.003332900931958,2.8903233505662453,1.894283499127734,-126.1123706243931,266.2247412487862,BFGS,0,NA,TRUE,leave_last_k_out,late_event,5,SNU_21093 | SNU_21048 | SNU_21038 | SNU_21026 | SNU_21125,5,7.572895277207392,transition,0.22024562483236138,0.30467401289347307,0.024038460386452083,36.738586236887905,35.828642057371674,2.6251966466434604,-0.02178892084792225,-0.06370166170042638,0.6498667783264624,-33.735253335955946,-32.938318706805426,-0.7309131475157264,0.6498667783264624,33.735253335955946,32.938318706805426
SNU,SNU,SNU,lognormal,base,FALSE,204,34,170,0.20390910096633885,0.2576887474591334,0.5821900378683618,0.4178099621316383,5.550545719380868,5.088310798439871,2.101145417214665,-130.4775937192293,274.9551874384586,BFGS,0,NA,TRUE,leave_last_k_out,late_event,4,SNU_21093 | SNU_21048 | SNU_21038 | SNU_21026,4,7.572895277207392,transition,0.22024562483236138,0.30467401289347307,0.024038460386452083,36.738586236887905,35.828642057371674,2.6251966466434604,-0.016336523866022523,-0.046985265434339674,0.5581515774819097,-31.188040517507037,-30.740331258931803,-0.5240512294287956,0.5581515774819097,31.188040517507037,30.740331258931803
SNU,SNU,SNU,lognormal,base,FALSE,207,37,170,0.21359067615248759,0.27967478478832486,0.47214908545997847,0.5278509145400215,8.753719078194523,8.174443256685198,2.1783181975564965,-143.19190972305634,300.3838194461127,Nelder-Mead,0,NA,TRUE,leave_last_k_out,late_event,1,SNU_21093,1,7.572895277207392,transition,0.22024562483236138,0.30467401289347307,0.024038460386452083,36.738586236887905,35.828642057371674,2.6251966466434604,-0.00665494867987379,-0.024999228105148208,0.4481106250735264,-27.984867158693383,-27.654198800686476,-0.44687844908696395,0.4481106250735264,27.984867158693383,27.654198800686476
SNU,SNU,SNU,lognormal,base,FALSE,207,37,170,0.21359067615248759,0.27967478478832486,0.47214908545997847,0.5278509145400215,8.753719078194523,8.174443256685198,2.1783181975564965,-143.19190972305634,300.3838194461127,Nelder-Mead,0,NA,TRUE,leave_one_out,late_event,1,SNU_21093,1,7.572895277207392,transition,0.22024562483236138,0.30467401289347307,0.024038460386452083,36.738586236887905,35.828642057371674,2.6251966466434604,-0.00665494867987379,-0.024999228105148208,0.4481106250735264,-27.984867158693383,-27.654198800686476,-0.44687844908696395,0.4481106250735264,27.984867158693383,27.654198800686476
SNU,SNU,SNU,lognormal,base,FALSE,206,36,170,0.2127002705400971,0.28532125138131004,0.29149915904455304,0.708500840955447,21.16848855106618,15.872176288964587,2.443154796134405,-138.39921020274792,290.79842040549585,BFGS,0,NA,TRUE,leave_last_k_out,late_event,2,SNU_21093 | SNU_21048,2,7.572895277207392,transition,0.22024562483236138,0.30467401289347307,0.024038460386452083,36.738586236887905,35.828642057371674,2.6251966466434604,-0.0075453542922642725,-0.01935276151216303,0.26746069865810096,-15.570097685821725,-19.956465768407085,-0.18204185050905553,0.26746069865810096,15.570097685821725,19.956465768407085
merged_no_site,Merged,merged,lognormal,base,FALSE,257,50,207,0.2627235019935131,0.3493323018950197,0.049185374680674784,0.9508146253193253,26.113082418909013,25.418131147227708,2.7009736261838597,-173.88242622336108,361.76485244672216,BFGS,0,NA,TRUE,leave_last_k_out,late_censored,5,SNU_21049 | SNU_21019 | SNU_21020 | SNU_21029 | SNU_21024,5,10.105407255304586,right_censoring,0.25255635218401284,0.33490282765589385,0.08425166712580456,28.903766290503484,24.123121024525467,2.693349734123182,0.010167149809500231,0.014429474239125828,-0.03506629244512978,-2.790683871594471,1.2950101227022408,0.007623892060677928,0.03506629244512978,2.790683871594471,1.2950101227022408
merged_no_site,Merged,merged,lognormal,base,FALSE,258,50,208,0.2604761096141913,0.34586957688142905,0.06470415035320597,0.935295849646794,27.422209826005343,23.659564169401154,2.6705412313338974,-176.65086893789928,367.30173787579855,BFGS,0,NA,TRUE,leave_last_k_out,late_censored,4,SNU_21049 | SNU_21019 | SNU_21020 | SNU_21029,4,10.105407255304586,right_censoring,0.25255635218401284,0.33490282765589385,0.08425166712580456,28.903766290503484,24.123121024525467,2.693349734123182,0.007919757430178476,0.0109667492255352,-0.019547516772598597,-1.4815564644981407,-0.4635568551243132,-0.02280850278928437,0.019547516772598597,1.4815564644981407,0.4635568551243132
merged_no_site,Merged,merged,lognormal,base,FALSE,259,50,209,0.2586864277423419,0.3432984270152263,0.07299060431644437,0.9270093956835557,27.460310703762087,23.4489070519062,2.6708736456648223,-177.03728871401384,368.0745774280277,BFGS,0,NA,TRUE,leave_last_k_out,late_censored,3,SNU_21049 | SNU_21019 | SNU_21020,3,10.105407255304586,right_censoring,0.25255635218401284,0.33490282765589385,0.08425166712580456,28.903766290503484,24.123121024525467,2.693349734123182,0.006130075558329062,0.008395599359332429,-0.011261062809360192,-1.443455586741397,-0.6742139726192669,-0.022476088458359467,0.011261062809360192,1.443455586741397,0.6742139726192669
