dataset_version_key,dataset_key,model_id,parameter,mean,sd,q025,q50,q975,n_eff,rhat
SNU,SNU,SNU-L0-LN-ANCH-NOSITE,gamma_lat[2],0.24710123161935416,0.5136174891368144,-0.7470583895899974,0.23384768789933635,1.2587727495157488,3137.0556954325957,1.002106410071555
SNU,SNU,SNU-L0-LN-ANCH-NOSITE,log_sigma_LN,0.8537314767540983,0.13882360420137344,0.5722866846407627,0.8552846022713753,1.1295206505925803,2363.8913811345437,1.0003833695332547
merged,merged,MERGED-I0-L0S0-LN-ANCH-NOSITE,alpha_inc,0.5679901421297309,1.1196127020648408,-1.1096546074949873,0.38390033978578997,3.2594766627467004,1389.5582642640843,1.0003646358990554
merged,merged,MERGED-I0-L0S0-LN-ANCH-NOSITE,beta_inc[1],0.4264325784558189,0.1328864559989309,0.17020620241338313,0.4265049664891779,0.6866915966886961,4163.86416926145,0.9999435129518474
merged,merged,MERGED-I0-L0S0-LN-ANCH-NOSITE,beta_inc[2],0.8842045060166986,0.17129886196848926,0.551423280887501,0.8819859719525308,1.2209675368541513,4286.600526282558,0.9993798418447992
merged,merged,MERGED-I0-L0S0-LN-ANCH-NOSITE,beta_inc[3],0.6095430713476967,0.18908672317556197,0.2359697589269844,0.6103852039387883,0.9749384802331619,4852.825680259881,0.9993033304908734
merged,merged,MERGED-I0-L0S0-LN-ANCH-NOSITE,beta_inc[4],0.38567281223940253,0.28089316218358995,-0.170994086433382,0.3884486186962397,0.9369812441151422,3844.271131257124,0.9995745487741357
merged,merged,MERGED-I0-L0S0-LN-ANCH-NOSITE,beta_inc[5],0.0903023228640989,0.2926822961764689,-0.4764896762129586,0.08796493346954068,0.6580102217794548,4644.735275162085,0.9997890156736126
merged,merged,MERGED-I0-L0S0-LN-ANCH-NOSITE,gamma0,2.177465574420297,0.7796090415599164,0.5503849718868584,2.2428600962571874,3.571838534871012,1505.5536290845644,0.9996920196012604
merged,merged,MERGED-I0-L0S0-LN-ANCH-NOSITE,gamma_lat[1],-0.20130130091818052,0.46800403867859247,-1.0964821221019758,-0.20727908192335617,0.7363117777740841,3558.200190337982,0.9997213288016394
merged,merged,MERGED-I0-L0S0-LN-ANCH-NOSITE,gamma_lat[2],0.6404807101030378,0.4815534622502169,-0.29430974119319553,0.6292604807259248,1.5753155977182869,2859.398686781,0.9997303506777878
merged,merged,MERGED-I0-L0S0-LN-ANCH-NOSITE,log_sigma_LN,0.9071538772262382,0.12793406672994742,0.6411444454600056,0.9139920700643308,1.1495671239040397,2114.6420160129887,0.9999830153303076
merged_site_adjusted,merged,MERGED-I1-L0S1-LN-ANCH-N01,alpha_inc,0.695621999900411,1.242280815242349,-1.2777848478748954,0.5362613368252971,3.612299613615446,2578.332035188228,0.9997284121710288
merged_site_adjusted,merged,MERGED-I1-L0S1-LN-ANCH-N01,beta_inc[1],0.425476910051097,0.1342708081915512,0.16365494075962922,0.42676303187899833,0.6777572410924215,5642.264557980449,0.9996873298180379
merged_site_adjusted,merged,MERGED-I1-L0S1-LN-ANCH-N01,beta_inc[2],0.8900552330498037,0.17350075794409428,0.5586188116896953,0.8925033251072466,1.2354526159699724,4383.478481942941,0.99936556832883
merged_site_adjusted,merged,MERGED-I1-L0S1-LN-ANCH-N01,beta_inc[3],0.608494877118527,0.19331985484358816,0.22009417014565016,0.608727480508048,0.9821552444725845,6298.383971486985,0.999316583212853
merged_site_adjusted,merged,MERGED-I1-L0S1-LN-ANCH-N01,beta_inc[4],0.4051423166617631,0.28046859575539523,-0.14098927970012798,0.40324663167961516,0.9581037201554263,5062.65672718768,1.000130104266577
merged_site_adjusted,merged,MERGED-I1-L0S1-LN-ANCH-N01,beta_inc[5],0.08979661312869654,0.2924319377928765,-0.4676126577295167,0.0873259749406059,0.6834872421273165,5479.187957236304,1.0001905824277078
merged_site_adjusted,merged,MERGED-I1-L0S1-LN-ANCH-N01,beta_inc[6],0.3193707428063695,0.8523692607758844,-1.3603193345308784,0.311020218336407,2.0531928079484674,4160.242105219863,0.9993674576607412
merged_site_adjusted,merged,MERGED-I1-L0S1-LN-ANCH-N01,gamma0,1.4508871335617157,0.7641940989175307,-0.09371105810060815,1.4744337001148602,2.9109580364710292,2600.961440873744,0.9996783253524748
merged_site_adjusted,merged,MERGED-I1-L0S1-LN-ANCH-N01,gamma_lat[1],-0.029426026694282917,0.4415946230128965,-0.8899044911109159,-0.02879877903615667,0.8509524803066818,5054.383976914467,0.9996572330166883
merged_site_adjusted,merged,MERGED-I1-L0S1-LN-ANCH-N01,gamma_lat[2],0.44062929773217796,0.4555869912644599,-0.45253661709568,0.435724685628026,1.3620049307698006,4708.806862557028,0.9995986421803131
merged_site_adjusted,merged,MERGED-I1-L0S1-LN-ANCH-N01,gamma_lat[3],1.1582273934483827,0.5560022868957527,0.07737810042513239,1.1650993860296035,2.265822851324764,4080.9535782187995,1.0001773389686761
merged_site_adjusted,merged,MERGED-I1-L0S1-LN-ANCH-N01,log_sigma_LN,0.8802603390618962,0.12504092946455186,0.623709486368773,0.8814532323007049,1.1185404694787222,3245.5400765825034,0.9992205431472958
