scenario_id,scenario_label,dataset_scope,dataset_label,model_group,model_name,model_label,interval_type,horizon_year,estimated_survival_probability,estimated_survival_uncertainty_sd,estimated_survival_lower_95,estimated_survival_median_50,estimated_survival_upper_95,estimated_risk_probability,estimated_risk_uncertainty_sd,estimated_risk_lower_95,estimated_risk_median_50,estimated_risk_upper_95,cure_fraction,susceptible_fraction,n_subjects,full_survival_probability,full_risk_probability,full_cure_fraction,full_susceptible_fraction,survival_diff_vs_full,risk_diff_vs_full,abs_risk_diff_vs_full,cure_fraction_diff_vs_full,susceptible_fraction_diff_vs_full
truncated_2y,Truncated at 2 years,SNU,SNU,Bayesian cure,bayesian_mixture_cure,Bayesian cure,95% CrI,7,0.8095279322365422,0.05171408775149003,0.7060116956912716,0.8130556348239326,0.8901796203017982,0.19047206776345785,0.05171408775149003,0.10982037969820176,0.18694436517606736,0.29398830430872835,0.6672861711986019,0.3327138288013981,208,0.737663804371073,0.26233619562892696,0.2367901628754555,0.7632098371245445,0.07186412786546914,-0.07186412786546911,0.07186412786546911,0.4304960083231464,-0.4304960083231464
truncated_2y,Truncated at 2 years,SNU,SNU,Bayesian cure,bayesian_mixture_cure,Bayesian cure,95% CrI,8,0.8026847225711284,0.05566356501006745,0.689579014440107,0.8064111115646353,0.887560687532063,0.1973152774288716,0.05566356501006746,0.11243931246793704,0.19358888843536465,0.310420985559893,0.6672861711986019,0.3327138288013981,208,0.7222042511385192,0.27779574886148084,0.2367901628754555,0.7632098371245445,0.08048047143260928,-0.08048047143260925,0.08048047143260925,0.4304960083231464,-0.4304960083231464
truncated_2y,Truncated at 2 years,SNU,SNU,Bayesian cure,bayesian_mixture_cure,Bayesian cure,95% CrI,9,0.7967642721024829,0.05927159948585968,0.6747934880332068,0.8007666737983081,0.885796878424521,0.2032357278975171,0.05927159948585969,0.11420312157547896,0.19923332620169193,0.3252065119667931,0.6672861711986019,0.3327138288013981,208,0.7083384043524922,0.2916615956475078,0.2367901628754555,0.7632098371245445,0.08842586774999073,-0.08842586774999073,0.08842586774999073,0.4304960083231464,-0.4304960083231464
truncated_2y,Truncated at 2 years,SNU,SNU,Bayesian cure,bayesian_mixture_cure,Bayesian cure,95% CrI,10,0.7915681006507487,0.06258604361975074,0.6629325139558835,0.7961168692804714,0.8842911648887828,0.20843189934925133,0.06258604361975074,0.11570883511121724,0.20388313071952857,0.3370674860441164,0.6672861711986019,0.3327138288013981,208,0.6957790376021452,0.30422096239785473,0.2367901628754555,0.7632098371245445,0.09578906304860346,-0.0957890630486034,0.0957890630486034,0.4304960083231464,-0.4304960083231464
truncated_3y,Truncated at 3 years,SNU,SNU,KM,km,KM,95% CI,1,0.927245975381002,NA,0.8801198405745653,0.927245975381002,0.956301672444453,0.07275402461899805,NA,0.043698327555547034,0.07275402461899805,0.11988015942543473,NA,NA,208,0.927245975381002,0.07275402461899805,NA,NA,0,0,0,NA,NA
truncated_3y,Truncated at 3 years,SNU,SNU,KM,km,KM,95% CI,2,0.8784708917118653,NA,0.8208059035848249,0.8784708917118653,0.9184927379945499,0.12152910828813468,NA,0.08150726200545011,0.12152910828813468,0.17919409641517514,NA,NA,208,0.8784708917118653,0.12152910828813468,NA,NA,0,0,0,NA,NA
truncated_3y,Truncated at 3 years,SNU,SNU,KM,km,KM,95% CI,3,0.8310292675945457,NA,0.7650690315993779,0.8310292675945457,0.8799145362088399,0.16897073240545435,NA,0.12008546379116014,0.16897073240545435,0.2349309684006221,NA,NA,208,0.8310292675945457,0.16897073240545435,NA,NA,0,0,0,NA,NA
truncated_3y,Truncated at 3 years,SNU,SNU,KM,km,KM,95% CI,4,0.8310292675945457,NA,0.7650690315993779,0.8310292675945457,0.8799145362088399,0.16897073240545435,NA,0.12008546379116014,0.16897073240545435,0.2349309684006221,NA,NA,208,0.8165699671510509,0.1834300328489491,NA,NA,0.01445930044349475,-0.01445930044349475,0.01445930044349475,NA,NA
truncated_3y,Truncated at 3 years,SNU,SNU,KM,km,KM,95% CI,5,0.8310292675945457,NA,0.7650690315993779,0.8310292675945457,0.8799145362088399,0.16897073240545435,NA,0.12008546379116014,0.16897073240545435,0.2349309684006221,NA,NA,208,0.7891899090808975,0.21081009091910252,NA,NA,0.04183935851364817,-0.04183935851364817,0.04183935851364817,NA,NA
truncated_3y,Truncated at 3 years,SNU,SNU,KM,km,KM,95% CI,6,0.8310292675945457,NA,0.7650690315993779,0.8310292675945457,0.8799145362088399,0.16897073240545435,NA,0.12008546379116014,0.16897073240545435,0.2349309684006221,NA,NA,208,0.7527912130645877,0.24720878693541226,NA,NA,0.07823805452995791,-0.07823805452995791,0.07823805452995791,NA,NA
