dataset,dataset_label,horizon_year,anchor_overall_risk_prob,neutral_overall_risk_prob,delta_risk_anchor_minus_neutral,anchor_cure_fraction,neutral_cure_fraction,delta_cure_fraction_anchor_minus_neutral
merged_no_site,Merged,1,0.11320819711003886,0.10909461218872166,0.0041135849213172065,0.2719675278882512,0.1336284508490419,0.13833907703920928
merged_no_site,Merged,2,0.16725617589579309,0.16291155491415643,0.004344620981636654,0.2719675278882512,0.1336284508490419,0.13833907703920928
merged_no_site,Merged,3,0.20452217492291402,0.20093684879532386,0.0035853261275901604,0.2719675278882512,0.1336284508490419,0.13833907703920928
merged_no_site,Merged,4,0.23312622338371794,0.2306530654327479,0.0024731579509700286,0.2719675278882512,0.1336284508490419,0.13833907703920928
merged_no_site,Merged,5,0.25634655322527927,0.255124710056391,0.0012218431688882925,0.2719675278882512,0.1336284508490419,0.13833907703920928
merged_no_site,Merged,6,0.27587065024617663,0.2759490954759879,-7.844522981126367e-5,0.2719675278882512,0.1336284508490419,0.13833907703920928
merged_no_site,Merged,7,0.29269136686096275,0.294076302592487,-0.0013849357315242616,0.2719675278882512,0.1336284508490419,0.13833907703920928
merged_no_site,Merged,8,0.3074456212321121,0.3101216990321798,-0.0026760778000676777,0.2719675278882512,0.1336284508490419,0.13833907703920928
merged_no_site,Merged,9,0.3205677388540192,0.32450854331960416,-0.0039408044655849794,0.2719675278882512,0.1336284508490419,0.13833907703920928
merged_no_site,Merged,10,0.3323677378611179,0.337541319846093,-0.005173581984975084,0.2719675278882512,0.1336284508490419,0.13833907703920928
merged_site_adjusted,Merged (site-adjusted),1,0.11187252271927159,0.11227967047825886,-4.071477589872724e-4,0.19700634140972045,0.1065093806964884,0.09049696071323206
merged_site_adjusted,Merged (site-adjusted),2,0.16727903490994675,0.168589850035035,-0.0013108151250882383,0.19700634140972045,0.1065093806964884,0.09049696071323206
merged_site_adjusted,Merged (site-adjusted),3,0.20614802246097208,0.20850612164544005,-0.002358099184467971,0.19700634140972045,0.1065093806964884,0.09049696071323206
merged_site_adjusted,Merged (site-adjusted),4,0.2363359435769541,0.23974955365760178,-0.0034136100806476943,0.19700634140972045,0.1065093806964884,0.09049696071323206
merged_site_adjusted,Merged (site-adjusted),5,0.2610622606158399,0.2655019492719781,-0.0044396886561381965,0.19700634140972045,0.1065093806964884,0.09049696071323206
merged_site_adjusted,Merged (site-adjusted),6,0.2820028363045638,0.2874278717511703,-0.0054250354466064965,0.19700634140972045,0.1065093806964884,0.09049696071323206
merged_site_adjusted,Merged (site-adjusted),7,0.3001526391888758,0.30651993539981154,-0.006367296210935736,0.19700634140972045,0.1065093806964884,0.09049696071323206
merged_site_adjusted,Merged (site-adjusted),8,0.3161548220654671,0.32342228662475647,-0.007267464559289394,0.19700634140972045,0.1065093806964884,0.09049696071323206
merged_site_adjusted,Merged (site-adjusted),9,0.33045085621331177,0.3385786409383176,-0.008127784725005804,0.19700634140972045,0.1065093806964884,0.09049696071323206
merged_site_adjusted,Merged (site-adjusted),10,0.3433576900590366,0.3523085835000925,-0.008950893441055874,0.19700634140972045,0.1065093806964884,0.09049696071323206
