dataset,model_id,parameter,mean,sd,q025,q50,q975
merged,MERGED-L1S0-LL,beta_inc[2],0.883381534179949,0.173386953600793,0.551989385439775,0.885904029273598,1.22539616112584
merged,MERGED-L1S0-LL,beta_inc[3],0.598492271504676,0.187061942866309,0.231357901170201,0.599237394210271,0.958158269638251
merged,MERGED-L1S0-LL,beta_inc[4],0.398865648852863,0.282685743474524,-0.164321107796506,0.400537787311009,0.948855246535939
merged,MERGED-L1S0-LL,beta_inc[5],0.0752279890537035,0.294672947211754,-0.516409545807282,0.079893093019183,0.651380005987514
merged,MERGED-L1S0-LL,delta0,10.3079593470672,1.15289630225943,8.56581052445197,10.1494121915188,13.0935901072523
merged,MERGED-L1S0-LL,gamma0,2.18652592868207,0.723570484256565,0.627974165166083,2.25243320336707,3.49793306912573
merged,MERGED-L1S0-LL,gamma_lat[1],-0.189257440364194,0.522307521950461,-1.17996280054419,-0.214926698537626,0.893820706499541
merged,MERGED-L1S0-LL,gamma_lat[2],0.598296205968983,0.492029839374208,-0.366667060223653,0.596224688237094,1.58865247404625
merged,MERGED-L1S0-LL,gamma_lat[3],-0.289254821725843,0.634593068550829,-1.54717885522577,-0.28552341479935,0.96658637393965
merged,MERGED-L1S0-LL,psi_LL,0.324791630332785,0.133980961350199,0.0703216263319382,0.323182879569758,0.591809924631263
merged,MERGED-L1S0-LN,beta_inc[1],0.429784725446884,0.131161521199837,0.175232324931083,0.429355111199162,0.691479500503981
merged,MERGED-L1S0-LN,beta_inc[2],0.890741871252095,0.176374610227387,0.549823073138844,0.888473528768223,1.23380884295021
merged,MERGED-L1S0-LN,beta_inc[3],0.603555841920318,0.189808182000801,0.22912558366068,0.603858602054485,0.963463633031579
merged,MERGED-L1S0-LN,beta_inc[4],0.401346356177312,0.284615775951447,-0.155593297526627,0.398479858443104,0.960677851857779
merged,MERGED-L1S0-LN,beta_inc[5],0.0827138980353357,0.296574210528095,-0.497304325649571,0.0820199524240016,0.658512999387354
merged,MERGED-L1S0-LN,delta0,10.3098081036061,1.13637353321162,8.60237813651067,10.1341920926057,13.0993999318318
merged,MERGED-L1S0-LN,gamma0,2.34683833892249,0.765838338022314,0.710253812548495,2.39866752232163,3.75394716872918
merged,MERGED-L1S0-LN,gamma_lat[1],-0.083571627127408,0.54474733458661,-1.14020464509207,-0.0960031830140044,0.979594101143195
merged,MERGED-L1S0-LN,gamma_lat[2],0.648411753348993,0.484572208138461,-0.31222737034253,0.655122856424231,1.58658329421045
merged,MERGED-L1S0-LN,gamma_lat[3],-0.281784072098774,0.674124322625666,-1.55691294324217,-0.278267274920788,1.05074107846202
merged,MERGED-L1S0-LN,log_sigma_LN,0.954955103446922,0.129094653419632,0.6902519595287,0.956907786539534,1.20124910716694
merged,MERGED-L1S0-W,beta_inc[1],0.431661204813729,0.130271783966023,0.177637453476839,0.431338324551918,0.691935093863018
merged,MERGED-L1S0-W,beta_inc[2],0.8788554545078,0.177582129949857,0.536821160446144,0.879700261126576,1.23343495738866
merged,MERGED-L1S0-W,beta_inc[3],0.603495040651636,0.190565178899018,0.237469341346649,0.604385681751332,0.97358268422945
merged,MERGED-L1S0-W,beta_inc[4],0.386110264664461,0.289774914886678,-0.179769317001671,0.383825652960023,0.944233379662727
merged,MERGED-L1S0-W,beta_inc[5],0.0793937821113653,0.30088151687107,-0.50682074827739,0.0753749726661145,0.655704299095733
merged,MERGED-L1S0-W,delta0,10.1695234932441,1.17232316611148,8.38442835556873,10.010946062031,12.9135655875163
merged,MERGED-L1S0-W,gamma0,1.99590172690546,0.697733201708199,0.519431575639412,2.06437217911334,3.22535542418504
merged,MERGED-L1S0-W,gamma_lat[1],-0.1840250683428,0.525205420529788,-1.18629384646447,-0.203398957392983,0.872355058805577
merged,MERGED-L1S0-W,gamma_lat[2],0.577343957269692,0.460333154316287,-0.315704761836528,0.582972539743542,1.47199928467922
merged,MERGED-L1S0-W,gamma_lat[3],-0.276758665503856,0.640842182733425,-1.55408864876926,-0.270104321213287,0.935483350266382
merged,MERGED-L1S0-W,rho_W,-0.422914435547885,0.130748025093574,-0.684195945372831,-0.420282807504158,-0.17490642480181
merged,MERGED-L1S1-E,beta_inc[1],0.425581564819835,0.129735582539596,0.164486443179812,0.427416014836025,0.677039822924351
merged,MERGED-L1S1-E,beta_inc[2],0.827586294238383,0.17479563484616,0.49657643924703,0.827835585530438,1.16419898264096
merged,MERGED-L1S1-E,beta_inc[3],0.618722464921471,0.186522793597707,0.258749062634756,0.616147081926101,0.989337266098477
merged,MERGED-L1S1-E,beta_inc[4],0.250883914992997,0.301473741935854,-0.32207799567894,0.24778346753993,0.859090930975723
merged,MERGED-L1S1-E,beta_inc[5],0.113190109772675,0.293672822823379,-0.474169865705111,0.113011580917046,0.6930743476773
merged,MERGED-L1S1-E,delta0,9.31363366690578,1.10249886119155,7.96837473793439,9.01984566028118,12.1777660472674
merged,MERGED-L1S1-E,gamma0,0.350618444943087,0.626564289665916,-0.877069642905873,0.36238291401382,1.53548305597714
merged,MERGED-L1S1-E,gamma_lat[1],0.0966262252885896,0.383199063007043,-0.601780690840448,0.0796926394813127,0.868163193992471
merged,MERGED-L1S1-E,gamma_lat[2],0.461126918318713,0.365173410361351,-0.236531502498298,0.457822007718095,1.18300808556982
merged,MERGED-L1S1-E,gamma_lat[3],-0.310756460790132,0.516647602216747,-1.32521560916475,-0.311172277372649,0.719569686531328
merged,MERGED-L1S1-E,gamma_lat[4],1.11925929518649,0.417414388404248,0.265016285948521,1.13213346350107,1.90736301519165
merged,MERGED-L1S1-LL,beta_inc[1],0.431152678205421,0.131877906700673,0.18071767828631,0.429266405334444,0.698613614807673
