dataset,model_id,parameter,mean,sd,rhat,ess_bulk,ess_tail
merged,MERGED-L0S0-E,beta_inc[1],0.416609900012453,0.131049503137097,1.00424288217052,4074.54720821464,3333.46008804753
merged,MERGED-L0S0-E,beta_inc[2],0.783239696363372,0.169633160066094,1.00009238662869,3794.14614231593,2753.83225289764
merged,MERGED-L0S0-E,beta_inc[3],0.62218755895298306,0.18045607047655,1.00193465053688,4227.47052882145,3149.6245721137
merged,MERGED-L0S0-E,beta_inc[4],0.142465148997534,0.281359323262697,1.00044279963994,2809.45105495552,2591.65962381385
merged,MERGED-L0S0-E,beta_inc[5],0.127284381501604,0.29059505426258,0.999713397017031,4994.72107281103,3337.33672896464
merged,MERGED-L0S0-E,delta0,8.61821680923299,0.611435936021364,1.00276624829505,1363.90910190778,860.812644610908
merged,MERGED-L0S0-E,gamma0,0.73982055960105,0.485567903820917,1.00212276828527,1258.89998781384,1100.30160661483
merged,MERGED-L0S0-E,gamma_lat[1],-0.310726479334546,0.281857774282417,1.0020398834615,4072.39492131729,2577.60420298601
merged,MERGED-L0S0-E,gamma_lat[2],0.661369843137523,0.400615092037813,1.00068730726057,2765.94667750337,3061.59240136799
merged,MERGED-L0S0-LL,beta_inc[1],0.432146444347124,0.131986009927121,1.00045759619323,4155.21209705839,2550.14631115742
merged,MERGED-L0S0-LL,beta_inc[2],0.880541260295363,0.17419002018537,1.00052674827591,4508.75161791385,2466.75141149474
merged,MERGED-L0S0-LL,beta_inc[3],0.603834715967501,0.182098097661771,1.00136760140341,5091.30419883562,2986.247533562
merged,MERGED-L0S0-LL,beta_inc[4],0.402192633097765,0.281176147180557,1.0001294347552,4186.65025576522,3018.65475552774
merged,MERGED-L0S0-LL,beta_inc[5],0.0800463052251907,0.305581730773935,1.00022796745108,4518.82164099369,2872.16750347458
merged,MERGED-L0S0-LL,delta0,10.2661766296528,1.14914278690126,1.00178805907808,1787.98104012913,2278.34093552194
merged,MERGED-L0S0-LL,gamma0,2.14232483499347,0.703359855275674,1.00212533694692,1687.15087894317,2332.08276462134
merged,MERGED-L0S0-LL,gamma_lat[1],-0.329941796155052,0.423306721356696,1.00031099833156,3802.40516858746,2836.16693648238
merged,MERGED-L0S0-LL,gamma_lat[2],0.605089259954454,0.481913932330358,1.00039391846246,3014.47867301788,2929.83172992191
merged,MERGED-L0S0-LL,psi_LL,0.315058648486472,0.133201558389303,1.00107866571258,3180.27394463885,3032.11160844317
merged,MERGED-L0S0-LN,beta_inc[1],0.430617020697944,0.134505411926092,1.00271162211943,3716.75038556319,3124.45676062137
merged,MERGED-L0S0-LN,beta_inc[2],0.889587851745578,0.16862481618225,1.00049183615198,4212.98214756963,3394.34727848164
merged,MERGED-L0S0-LN,beta_inc[3],0.601323865878329,0.189987380354608,1.00079200383097,3973.90167708793,3000.38441379343
merged,MERGED-L0S0-LN,beta_inc[4],0.406552754131687,0.279689579261406,1.00023470892746,4016.71555808057,2941.58031835612
merged,MERGED-L0S0-LN,beta_inc[5],0.0856492799407466,0.29621930965568,1.00136653798277,3963.75907363019,3099.88199672441
merged,MERGED-L0S0-LN,delta0,10.3053731751416,1.15053524312276,1.00125269307724,1916.04772185534,1720.04369693867
merged,MERGED-L0S0-LN,gamma0,2.34779766379231,0.760652715857459,1.00107204686685,1852.13148323094,2101.9960474101
merged,MERGED-L0S0-LN,gamma_lat[1],-0.222089574573444,0.458437858367957,1.00192288795359,3331.25786120512,2851.151103981
merged,MERGED-L0S0-LN,gamma_lat[2],0.623854557103508,0.484318049089654,1.00057428636837,3044.03623731341,2742.96984854279
merged,MERGED-L0S0-LN,log_sigma_LN,0.95236489447733,0.130241520687857,1.0011100639711,2356.70596364582,2694.02825316223
merged,MERGED-L0S0-W,beta_inc[1],0.432123749989655,0.130902549259635,1.0002500697282,4661.48883956056,2853.84183225241
merged,MERGED-L0S0-W,beta_inc[2],0.877170400183131,0.17918528670551,0.999698018460101,4190.73986360069,2557.62934155047
merged,MERGED-L0S0-W,beta_inc[3],0.606295379142112,0.194456679898616,1.00043025684313,4314.24608982555,2547.97886164738
