dataset,model_id,metric,horizon_year,mean__main,q025__main,q975__main,mean__wider_latency,q025__wider_latency,q975__wider_latency,delta_mean_wider_minus_main,prior_degenerate_flag__main,prior_tail_warning_flag__main,prior_degenerate_flag__wider_latency,prior_tail_warning_flag__wider_latency,prior_tail_warning_flag_any
merged,MERGED-Isite-L0S1-LL,cohort_median_susceptible_time,NA,27.8037697769064,0.00506006729472062,162.051537876792,386.0011414544,5.94326226398144e-4,2380.43643458968,358.1973716774936,FALSE,FALSE,FALSE,TRUE,TRUE
merged,MERGED-Isite-L0S1-LN,LNTF,NA,0.982280660904498,0.813592321685148,0.999999690848669,0.984917354172474,0.813564631390017,0.999999802901972,0.002636693267975998,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S1-LN,cohort_mean_cure_probability,NA,0.982280660904498,0.813592321685148,0.999999690848669,0.984917354172474,0.813564631390017,0.999999802901972,0.002636693267975998,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S1-LN,cohort_mean_risk,1,0.00878875591397235,2.5551115506685502e-14,0.0782369569547875,0.00849679228072873,2.73212326384378e-17,0.0731786193541242,-2.9196363324362e-4,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S1-LN,cohort_mean_risk,2,0.0100577835121687,3.87898166195697e-11,0.0805921466928956,0.00920455322923994,4.02138034492089e-17,0.0774053207518772,-8.532302829287602e-4,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S1-LN,cohort_mean_risk,5,0.0116024748966733,1.26058337696417e-8,0.098015462220732,0.0101882491627668,3.79326447267322e-14,0.10679335303442,-0.0014142257339064997,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S1-LN,cohort_mean_risk,10,0.0127844900534501,4.39013762264844e-8,0.14303458374075,0.0107935296526529,7.40773510174834e-11,0.11865017151001,-0.001990960400797199,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S1-LN,cohort_mean_susceptible_probability,NA,0.0177193390955017,3.09151331646377e-7,0.18640767831485,0.0150826458275255,1.97098028578287e-7,0.186435368609982,-0.002636693267976201,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L0S1-LN,cohort_median_susceptible_time,NA,67.2072053318013,0.00415434259066967,448.984120654575,5338.07391209322,7.13676912373954e-4,3343.97058994896,5270.866706761419,FALSE,TRUE,FALSE,TRUE,TRUE
merged,MERGED-Isite-L0S1-W,LNTF,NA,0.979632770576329,0.77633656301464,0.999999588707587,0.985255240962793,0.830114424559067,0.999999803649868,0.005622470386464018,FALSE,FALSE,FALSE,FALSE,FALSE
