dataset,model_id,metric,horizon_year,prior_set,mean,q025,q50,q975,prior_degenerate_flag,sd,prior_tail_warning_flag,prior_tail_warning_detail
merged,MERGED-Isite-L0S0-LN,cohort_mean_risk,1,wider_latency,0.00846005517939367,4.64535110971499e-17,3.52907705235078e-5,0.0759151846532453,FALSE,0.04263822716328644,FALSE,NA
merged,MERGED-Isite-L0S0-LN,cohort_mean_risk,2,wider_latency,0.0096463975255602,3.41531298577199e-16,4.79847839699897e-5,0.0950373627970971,FALSE,0.04697442405529463,FALSE,NA
merged,MERGED-Isite-L0S0-LN,cohort_mean_risk,5,wider_latency,0.011322132290914,3.05521829209889e-14,6.46136233067983e-5,0.108582940036215,FALSE,0.05436117479230597,FALSE,NA
merged,MERGED-Isite-L0S0-LN,cohort_mean_risk,10,wider_latency,0.0124753786534682,5.38774170527824e-12,9.045697527351e-5,0.142227498138646,FALSE,0.05980358783671821,FALSE,NA
merged,MERGED-Isite-L0S0-LN,cohort_mean_susceptible_probability,NA,main,0.0163287047475978,4.2992813391513e-7,2.55729815730599e-4,0.184174836382743,FALSE,0.07070391641294534,FALSE,NA
merged,MERGED-Isite-L0S0-LN,cohort_mean_susceptible_probability,NA,wider_latency,0.0186640443703979,1.62685754612195e-7,2.20310798741658e-4,0.18559048182141,FALSE,0.08156943811796234,FALSE,NA
merged,MERGED-Isite-L0S0-LN,cohort_median_susceptible_time,NA,main,13.3369472453143,0.00569569411205497,0.882203247232714,92.9217192348182,FALSE,64.91655998733795,FALSE,NA
merged,MERGED-Isite-L0S0-LN,cohort_median_susceptible_time,NA,wider_latency,217.471261578201,0.00135913967213746,1.95548760446789,1447.5518249751,FALSE,1599.6595261125865,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).
merged,MERGED-Isite-L0S0-W,LNTF,NA,main,0.974536360458556,0.71428338736421,0.999778003122779,0.99999979463835,FALSE,0.10909612796227236,FALSE,NA
merged,MERGED-Isite-L0S0-W,LNTF,NA,wider_latency,0.976410738784596,0.688146120106657,0.99977665002725,0.999999723748019,FALSE,0.10179565600624242,FALSE,NA
merged,MERGED-Isite-L0S0-W,cohort_mean_cure_probability,NA,main,0.974536360458556,0.71428338736421,0.999778003122779,0.99999979463835,FALSE,0.10909612796227236,FALSE,NA
merged,MERGED-Isite-L0S0-W,cohort_mean_cure_probability,NA,wider_latency,0.976410738784596,0.688146120106657,0.99977665002725,0.999999723748019,FALSE,0.10179565600624242,FALSE,NA
merged,MERGED-Isite-L0S0-W,cohort_mean_risk,1,main,0.0109443314303294,6.70015295821339e-10,5.62555866675733e-5,0.116272138929871,FALSE,0.05251363751723042,FALSE,NA
merged,MERGED-Isite-L0S0-W,cohort_mean_risk,2,main,0.0128857292713413,1.39135013377002e-8,7.68785517715628e-5,0.166007363747418,FALSE,0.05964417523228618,FALSE,NA
merged,MERGED-Isite-L0S0-W,cohort_mean_risk,5,main,0.0167349652648567,4.59736819665971e-8,1.1294512669745e-4,0.247000258994536,FALSE,0.077759255081665965,FALSE,NA
merged,MERGED-Isite-L0S0-W,cohort_mean_risk,10,main,0.0185832625880508,8.8506592369492e-8,1.51356925562537e-4,0.264269898668687,FALSE,0.0836909979429409,FALSE,NA
merged,MERGED-Isite-L0S0-W,cohort_mean_risk,1,wider_latency,0.00941610328649797,8.94072252619718e-13,4.20607667428001e-5,0.0781863665676447,FALSE,0.05752193355259524,FALSE,NA
merged,MERGED-Isite-L0S0-W,cohort_mean_risk,2,wider_latency,0.0106407266926606,2.48516359007693e-10,6.24755744289623e-5,0.0892352568864903,FALSE,0.06183452088491143,FALSE,NA
merged,MERGED-Isite-L0S0-W,cohort_mean_risk,5,wider_latency,0.0121277862530852,2.82656915052769e-8,8.96042531673684e-5,0.0989891593929052,FALSE,0.06673206863782244,FALSE,NA
merged,MERGED-Isite-L0S0-W,cohort_mean_risk,10,wider_latency,0.0133495891170894,6.90957128373239e-8,1.05211550788765e-4,0.114763672899094,FALSE,0.06956209737702936,FALSE,NA
merged,MERGED-Isite-L0S0-W,cohort_mean_susceptible_probability,NA,main,0.0254636395414442,2.05361651111753e-7,2.2199687722392e-4,0.28571661263579,FALSE,0.10909612796227248,FALSE,NA
merged,MERGED-Isite-L0S0-W,cohort_mean_susceptible_probability,NA,wider_latency,0.023589261215404,2.76251984114877e-7,2.23349972748878e-4,0.311853879893344,FALSE,0.10179565600624232,FALSE,NA
merged,MERGED-Isite-L0S0-W,cohort_median_susceptible_time,NA,main,68.6491701387258,0.00550213109763932,0.869342768498144,397.436543247619,FALSE,543.2765727727775,TRUE,Prior-predictive cohort median susceptible time q975 exceeds 200 years.
merged,MERGED-Isite-L0S0-W,cohort_median_susceptible_time,NA,wider_latency,135.722552497412,7.99459995229997e-4,1.36397474352,1157.48208831265,FALSE,719.4663001515268,TRUE,Prior-predictive cohort median susceptible time is very long (mean > 100 years and q975 > 200 years).
merged,MERGED-Isite-L0S1-E,LNTF,NA,main,0.986962975001233,0.877113913079492,0.999799373542281,0.999999710571271,FALSE,0.05868072782007321,FALSE,NA
merged,MERGED-Isite-L0S1-E,LNTF,NA,wider_latency,0.98634938393729,0.884976221710372,0.999843501395461,0.999999724995711,FALSE,0.06916026828850819,FALSE,NA
merged,MERGED-Isite-L0S1-E,cohort_mean_cure_probability,NA,main,0.986962975001233,0.877113913079492,0.999799373542281,0.999999710571271,FALSE,0.05868072782007321,FALSE,NA
merged,MERGED-Isite-L0S1-E,cohort_mean_cure_probability,NA,wider_latency,0.98634938393729,0.884976221710372,0.999843501395461,0.999999724995711,FALSE,0.06916026828850819,FALSE,NA
merged,MERGED-Isite-L0S1-E,cohort_mean_risk,1,main,0.00692424418685292,4.80929053647954e-8,5.32776252850146e-5,0.0570535097008646,FALSE,0.03735402790394641,FALSE,NA
merged,MERGED-Isite-L0S1-E,cohort_mean_risk,2,main,0.00814131848873046,7.8449530074027e-8,6.94917434736096e-5,0.0750201723244818,FALSE,0.04182261433724209,FALSE,NA
merged,MERGED-Isite-L0S1-E,cohort_mean_risk,5,main,0.00954375455046856,1.31898918831369e-7,1.010476514581e-4,0.083152720152409,FALSE,0.04689630358128392,FALSE,NA
merged,MERGED-Isite-L0S1-E,cohort_mean_risk,10,main,0.010418030073384,1.57226756042827e-7,1.26533243157488e-4,0.10374903003224,FALSE,0.05011048538095213,FALSE,NA
