dataset,comparison_scope,comparison_family,comparison_id,prediction_level,model_class,model_family,formula_id,formula_name,formula_label,site_branch,interaction_branch,benchmark_core_id,benchmark_label,assignment_variable,variant_id,variant_label,sensitivity_method,analysis_variant,evaluation_mode,risk_estimator,horizon_id,horizon_year,horizon_days,interpretation_tier,primary_supported_flag,interpretation_note,horizon_support_label,supported_for_reporting,projection_flag,reporting_status,remission_component_available,eventfree_component_available,component_mode,component_note,threshold_id,threshold,threshold_label,positive_rule,n_subjects,n_event_by_horizon,n_remission_by_horizon,n_known_nonevent_by_horizon,n_evaluable_by_horizon,n_unknown_due_to_early_followup_loss,n_predicted_positive,n_predicted_negative,n_predicted_positive_evaluable,n_predicted_negative_evaluable,tp_count,fp_count,tn_count,fn_count,mean_predicted_transition_risk,min_predicted_transition_risk,max_predicted_transition_risk,mean_predicted_remission_risk,mean_predicted_eventfree_prob,mean_risk_difference_from_main_signed,mean_risk_difference_from_main_absolute,positive_classification_rate,positive_classification_rate_evaluable,false_positive_rate,false_positive_burden,false_positive_burden_known_nonevent,false_positive_per_100,specificity,ppv,tpr,event_prevalence_all,event_prevalence_evaluable,remission_prevalence_all,net_benefit,net_benefit_evaluable,standardized_net_benefit,evaluation_rule
merged,subdistribution_formula,subdistribution,merged__site_added,individualized,Stage9_subdistribution,CoxPH,merged__site_added,site_added,Site-added,site_adjusted,no_age_sex_interaction,NA,NA,individualized_prediction,merged__site_added__cox_main_mirror,Main censoring mirror: Site-added,fine_gray,main_censoring_mirror,main_censoring,CoxPH_main_mirror,year_9,9,3287.25,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.,projection,FALSE,TRUE,projection_only,FALSE,TRUE,transition_plus_eventfree_main_mirror,transition_plus_eventfree_main_mirror,threshold_1,0.05,5%,Classify as high risk when predicted risk >= threshold,262,50,13,3,53,209,262,0,53,0,50,3,0,0,0.3957578325677104,0.2740215341121963,0.8441083669005764,0,0.6042421674322896,0,0,1,1,1,0.011450381679389313,1,1.1450381679389312,0,0.9433962264150944,1,0.19083969465648856,0.9433962264150944,0.04961832061068702,0.19023704298915228,0.9404170804369414,0.9968421052631579,event by horizon OR observed event-free through horizon; remission before horizon remains censored/unknown
merged,subdistribution_formula,subdistribution,merged__site_added,individualized,Stage9_subdistribution,FineGray,merged__site_added,site_added,Site-added,site_adjusted,no_age_sex_interaction,NA,NA,individualized_prediction,merged__site_added__fine_gray,Fine-Gray sensitivity: Site-added,fine_gray,remission_sensitive,remission_sensitive,FineGray,year_9,9,3287.25,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.,projection,FALSE,TRUE,projection_only,FALSE,FALSE,transition_only_subdistribution_model,transition_only_subdistribution_model,threshold_1,0.05,5%,Classify as high risk when predicted risk >= threshold,262,50,13,16,66,196,262,0,66,0,50,16,0,0,0.34582494122233964,0.2603140066488401,0.6725336363694034,NA,NA,-0.049932891345370656,0.049932891345370656,1,1,1,0.061068702290076333,1,6.106870229007633,0,0.7575757575757576,1,0.19083969465648856,0.7575757575757576,0.04961832061068702,0.18762555243069506,0.74481658692185,0.9831578947368421,event by horizon OR remission by horizon OR observed transition-free through horizon; early right censoring before horizon remains unknown
merged,subdistribution_formula,subdistribution,merged__site_added,individualized,Stage9_subdistribution,CoxPH,merged__site_added,site_added,Site-added,site_adjusted,no_age_sex_interaction,NA,NA,individualized_prediction,merged__site_added__cox_main_mirror,Main censoring mirror: Site-added,fine_gray,main_censoring_mirror,main_censoring,CoxPH_main_mirror,year_9,9,3287.25,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.,projection,FALSE,TRUE,projection_only,FALSE,TRUE,transition_plus_eventfree_main_mirror,transition_plus_eventfree_main_mirror,threshold_2,0.1,10%,Classify as high risk when predicted risk >= threshold,262,50,13,3,53,209,262,0,53,0,50,3,0,0,0.3957578325677104,0.2740215341121963,0.8441083669005764,0,0.6042421674322896,0,0,1,1,1,0.011450381679389313,1,1.1450381679389312,0,0.9433962264150944,1,0.19083969465648856,0.9433962264150944,0.04961832061068702,0.1895674300254453,0.9371069182389937,0.9933333333333333,event by horizon OR observed event-free through horizon; remission before horizon remains censored/unknown
merged,subdistribution_formula,subdistribution,merged__site_added,individualized,Stage9_subdistribution,FineGray,merged__site_added,site_added,Site-added,site_adjusted,no_age_sex_interaction,NA,NA,individualized_prediction,merged__site_added__fine_gray,Fine-Gray sensitivity: Site-added,fine_gray,remission_sensitive,remission_sensitive,FineGray,year_9,9,3287.25,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.,projection,FALSE,TRUE,projection_only,FALSE,FALSE,transition_only_subdistribution_model,transition_only_subdistribution_model,threshold_2,0.1,10%,Classify as high risk when predicted risk >= threshold,262,50,13,16,66,196,262,0,66,0,50,16,0,0,0.34582494122233964,0.2603140066488401,0.6725336363694034,NA,NA,-0.049932891345370656,0.049932891345370656,1,1,1,0.061068702290076333,1,6.106870229007633,0,0.7575757575757576,1,0.19083969465648856,0.7575757575757576,0.04961832061068702,0.18405428329092452,0.7306397306397306,0.9644444444444444,event by horizon OR remission by horizon OR observed transition-free through horizon; early right censoring before horizon remains unknown
merged,subdistribution_formula,subdistribution,merged__site_added,individualized,Stage9_subdistribution,CoxPH,merged__site_added,site_added,Site-added,site_adjusted,no_age_sex_interaction,NA,NA,individualized_prediction,merged__site_added__cox_main_mirror,Main censoring mirror: Site-added,fine_gray,main_censoring_mirror,main_censoring,CoxPH_main_mirror,year_9,9,3287.25,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.,projection,FALSE,TRUE,projection_only,FALSE,TRUE,transition_plus_eventfree_main_mirror,transition_plus_eventfree_main_mirror,threshold_3,0.15,15%,Classify as high risk when predicted risk >= threshold,262,50,13,3,53,209,262,0,53,0,50,3,0,0,0.3957578325677104,0.2740215341121963,0.8441083669005764,0,0.6042421674322896,0,0,1,1,1,0.011450381679389313,1,1.1450381679389312,0,0.9433962264150944,1,0.19083969465648856,0.9433962264150944,0.04961832061068702,0.18881903906600808,0.9334073251942286,0.9894117647058823,event by horizon OR observed event-free through horizon; remission before horizon remains censored/unknown
merged,subdistribution_formula,subdistribution,merged__site_added,individualized,Stage9_subdistribution,FineGray,merged__site_added,site_added,Site-added,site_adjusted,no_age_sex_interaction,NA,NA,individualized_prediction,merged__site_added__fine_gray,Fine-Gray sensitivity: Site-added,fine_gray,remission_sensitive,remission_sensitive,FineGray,year_9,9,3287.25,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.,projection,FALSE,TRUE,projection_only,FALSE,FALSE,transition_only_subdistribution_model,transition_only_subdistribution_model,threshold_3,0.15,15%,Classify as high risk when predicted risk >= threshold,262,50,13,16,66,196,262,0,66,0,50,16,0,0,0.34582494122233964,0.2603140066488401,0.6725336363694034,NA,NA,-0.049932891345370656,0.049932891345370656,1,1,1,0.061068702290076333,1,6.106870229007633,0,0.7575757575757576,1,0.19083969465648856,0.7575757575757576,0.04961832061068702,0.18006286484059275,0.714795008912656,0.943529411764706,event by horizon OR remission by horizon OR observed transition-free through horizon; early right censoring before horizon remains unknown
merged,subdistribution_formula,subdistribution,merged__site_added,individualized,Stage9_subdistribution,CoxPH,merged__site_added,site_added,Site-added,site_adjusted,no_age_sex_interaction,NA,NA,individualized_prediction,merged__site_added__cox_main_mirror,Main censoring mirror: Site-added,fine_gray,main_censoring_mirror,main_censoring,CoxPH_main_mirror,year_9,9,3287.25,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.,projection,FALSE,TRUE,projection_only,FALSE,TRUE,transition_plus_eventfree_main_mirror,transition_plus_eventfree_main_mirror,threshold_4,0.2,20%,Classify as high risk when predicted risk >= threshold,262,50,13,3,53,209,262,0,53,0,50,3,0,0,0.3957578325677104,0.2740215341121963,0.8441083669005764,0,0.6042421674322896,0,0,1,1,1,0.011450381679389313,1,1.1450381679389312,0,0.9433962264150944,1,0.19083969465648856,0.9433962264150944,0.04961832061068702,0.18797709923664124,0.9292452830188679,0.9850000000000001,event by horizon OR observed event-free through horizon; remission before horizon remains censored/unknown
merged,subdistribution_formula,subdistribution,merged__site_added,individualized,Stage9_subdistribution,FineGray,merged__site_added,site_added,Site-added,site_adjusted,no_age_sex_interaction,NA,NA,individualized_prediction,merged__site_added__fine_gray,Fine-Gray sensitivity: Site-added,fine_gray,remission_sensitive,remission_sensitive,FineGray,year_9,9,3287.25,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.,projection,FALSE,TRUE,projection_only,FALSE,FALSE,transition_only_subdistribution_model,transition_only_subdistribution_model,threshold_4,0.2,20%,Classify as high risk when predicted risk >= threshold,262,50,13,16,66,196,262,0,66,0,50,16,0,0,0.34582494122233964,0.2603140066488401,0.6725336363694034,NA,NA,-0.049932891345370656,0.049932891345370656,1,1,1,0.061068702290076333,1,6.106870229007633,0,0.7575757575757576,1,0.19083969465648856,0.7575757575757576,0.04961832061068702,0.17557251908396948,0.696969696969697,0.92,event by horizon OR remission by horizon OR observed transition-free through horizon; early right censoring before horizon remains unknown
merged,subdistribution_formula,subdistribution,merged__site_added,individualized,Stage9_subdistribution,CoxPH,merged__site_added,site_added,Site-added,site_adjusted,no_age_sex_interaction,NA,NA,individualized_prediction,merged__site_added__cox_main_mirror,Main censoring mirror: Site-added,fine_gray,main_censoring_mirror,main_censoring,CoxPH_main_mirror,year_10,10,3652.5,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.,projection,FALSE,TRUE,projection_only,FALSE,TRUE,transition_plus_eventfree_main_mirror,transition_plus_eventfree_main_mirror,threshold_1,0.05,5%,Classify as high risk when predicted risk >= threshold,262,50,13,1,51,211,262,0,51,0,50,1,0,0,0.3957578325677104,0.2740215341121963,0.8441083669005764,0,0.6042421674322896,0,0,1,1,1,0.003816793893129771,1,0.38167938931297707,0,0.9803921568627451,1,0.19083969465648856,0.9803921568627451,0.04961832061068702,0.19063881076737646,0.979360165118679,0.9989473684210526,event by horizon OR observed event-free through horizon; remission before horizon remains censored/unknown
merged,subdistribution_formula,subdistribution,merged__site_added,individualized,Stage9_subdistribution,FineGray,merged__site_added,site_added,Site-added,site_adjusted,no_age_sex_interaction,NA,NA,individualized_prediction,merged__site_added__fine_gray,Fine-Gray sensitivity: Site-added,fine_gray,remission_sensitive,remission_sensitive,FineGray,year_10,10,3652.5,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.,projection,FALSE,TRUE,projection_only,FALSE,FALSE,transition_only_subdistribution_model,transition_only_subdistribution_model,threshold_1,0.05,5%,Classify as high risk when predicted risk >= threshold,262,50,13,14,64,198,262,0,64,0,50,14,0,0,0.34582494122233964,0.2603140066488401,0.6725336363694034,NA,NA,-0.049932891345370656,0.049932891345370656,1,1,1,0.05343511450381679,1,5.343511450381679,0,0.78125,1,0.19083969465648856,0.78125,0.04961832061068702,0.18802732020891927,0.7697368421052632,0.985263157894737,event by horizon OR remission by horizon OR observed transition-free through horizon; early right censoring before horizon remains unknown
merged,subdistribution_formula,subdistribution,merged__site_added,individualized,Stage9_subdistribution,CoxPH,merged__site_added,site_added,Site-added,site_adjusted,no_age_sex_interaction,NA,NA,individualized_prediction,merged__site_added__cox_main_mirror,Main censoring mirror: Site-added,fine_gray,main_censoring_mirror,main_censoring,CoxPH_main_mirror,year_10,10,3652.5,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.,projection,FALSE,TRUE,projection_only,FALSE,TRUE,transition_plus_eventfree_main_mirror,transition_plus_eventfree_main_mirror,threshold_2,0.1,10%,Classify as high risk when predicted risk >= threshold,262,50,13,1,51,211,262,0,51,0,50,1,0,0,0.3957578325677104,0.2740215341121963,0.8441083669005764,0,0.6042421674322896,0,0,1,1,1,0.003816793893129771,1,0.38167938931297707,0,0.9803921568627451,1,0.19083969465648856,0.9803921568627451,0.04961832061068702,0.1904156064461408,0.9782135076252723,0.9977777777777778,event by horizon OR observed event-free through horizon; remission before horizon remains censored/unknown
merged,subdistribution_formula,subdistribution,merged__site_added,individualized,Stage9_subdistribution,FineGray,merged__site_added,site_added,Site-added,site_adjusted,no_age_sex_interaction,NA,NA,individualized_prediction,merged__site_added__fine_gray,Fine-Gray sensitivity: Site-added,fine_gray,remission_sensitive,remission_sensitive,FineGray,year_10,10,3652.5,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.,projection,FALSE,TRUE,projection_only,FALSE,FALSE,transition_only_subdistribution_model,transition_only_subdistribution_model,threshold_2,0.1,10%,Classify as high risk when predicted risk >= threshold,262,50,13,14,64,198,262,0,64,0,50,14,0,0,0.34582494122233964,0.2603140066488401,0.6725336363694034,NA,NA,-0.049932891345370656,0.049932891345370656,1,1,1,0.05343511450381679,1,5.343511450381679,0,0.78125,1,0.19083969465648856,0.78125,0.04961832061068702,0.18490245971162003,0.7569444444444444,0.9688888888888889,event by horizon OR remission by horizon OR observed transition-free through horizon; early right censoring before horizon remains unknown
merged,subdistribution_formula,subdistribution,merged__site_added,individualized,Stage9_subdistribution,CoxPH,merged__site_added,site_added,Site-added,site_adjusted,no_age_sex_interaction,NA,NA,individualized_prediction,merged__site_added__cox_main_mirror,Main censoring mirror: Site-added,fine_gray,main_censoring_mirror,main_censoring,CoxPH_main_mirror,year_10,10,3652.5,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.,projection,FALSE,TRUE,projection_only,FALSE,TRUE,transition_plus_eventfree_main_mirror,transition_plus_eventfree_main_mirror,threshold_3,0.15,15%,Classify as high risk when predicted risk >= threshold,262,50,13,1,51,211,262,0,51,0,50,1,0,0,0.3957578325677104,0.2740215341121963,0.8441083669005764,0,0.6042421674322896,0,0,1,1,1,0.003816793893129771,1,0.38167938931297707,0,0.9803921568627451,1,0.19083969465648856,0.9803921568627451,0.04961832061068702,0.19016614279299507,0.9769319492502883,0.9964705882352941,event by horizon OR observed event-free through horizon; remission before horizon remains censored/unknown
merged,subdistribution_formula,subdistribution,merged__site_added,individualized,Stage9_subdistribution,FineGray,merged__site_added,site_added,Site-added,site_adjusted,no_age_sex_interaction,NA,NA,individualized_prediction,merged__site_added__fine_gray,Fine-Gray sensitivity: Site-added,fine_gray,remission_sensitive,remission_sensitive,FineGray,year_10,10,3652.5,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.,projection,FALSE,TRUE,projection_only,FALSE,FALSE,transition_only_subdistribution_model,transition_only_subdistribution_model,threshold_3,0.15,15%,Classify as high risk when predicted risk >= threshold,262,50,13,14,64,198,262,0,64,0,50,14,0,0,0.34582494122233964,0.2603140066488401,0.6725336363694034,NA,NA,-0.049932891345370656,0.049932891345370656,1,1,1,0.05343511450381679,1,5.343511450381679,0,0.78125,1,0.19083969465648856,0.78125,0.04961832061068702,0.1814099685675797,0.7426470588235294,0.9505882352941176,event by horizon OR remission by horizon OR observed transition-free through horizon; early right censoring before horizon remains unknown
merged,subdistribution_formula,subdistribution,merged__site_added,individualized,Stage9_subdistribution,CoxPH,merged__site_added,site_added,Site-added,site_adjusted,no_age_sex_interaction,NA,NA,individualized_prediction,merged__site_added__cox_main_mirror,Main censoring mirror: Site-added,fine_gray,main_censoring_mirror,main_censoring,CoxPH_main_mirror,year_10,10,3652.5,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.,projection,FALSE,TRUE,projection_only,FALSE,TRUE,transition_plus_eventfree_main_mirror,transition_plus_eventfree_main_mirror,threshold_4,0.2,20%,Classify as high risk when predicted risk >= threshold,262,50,13,1,51,211,262,0,51,0,50,1,0,0,0.3957578325677104,0.2740215341121963,0.8441083669005764,0,0.6042421674322896,0,0,1,1,1,0.003816793893129771,1,0.38167938931297707,0,0.9803921568627451,1,0.19083969465648856,0.9803921568627451,0.04961832061068702,0.18988549618320613,0.9754901960784313,0.9950000000000001,event by horizon OR observed event-free through horizon; remission before horizon remains censored/unknown
