dataset,formula_variant,site_branch,interaction_branch,model_id,model_class,model_block,model_family,latency_type,fit_engine,is_cure_model,matched_nocure_model_id,fit_status,prediction_status,overall_status,fit_component_success,prediction_component_success,convergence_code,has_converged_solution,optimizer_method,fit_source,fit_cache_validation,loglik,fit_message,prediction_message,message,error_message,fit_warning_count,fit_warning_message,prediction_warning_count,prediction_warning_message,warning_count,warning_message,warning_count_total,fit_elapsed_sec,prediction_elapsed_sec,elapsed_sec,prediction_rows,expected_prediction_rows,saved_rds_file,n,n_transition,n_right_censor,n_remission,incidence_rhs,latency_rhs,stage6_join_key,stage6__dataset_key,stage6__source_dataset,stage6__analysis_variant,stage6__final_decision_flag,stage6__carry_forward_stage7,stage6__carry_forward_stage8,stage6__screening_repeated_in_stage8,stage6__presence_evidence_label,stage6__followup_evidence_label,stage6__screening_note,stage6_flag_joined
PNU,interaction,site_free,age_sex_interaction,cure_llogis,parametric_mixture_cure,frequentist_cure_main,llogis,parametric_aft,custom_mle,TRUE,nocure_llogis,ok,ok,ok,TRUE,TRUE,0,TRUE,BFGS,fitted_new,new_fit,-26.619273685288356,NA,prediction_ok,NA,NA,0,NA,0,NA,0,NA,0,0.8262360095977783,0.04208517074584961,0.8683211803436279,540,540,C:/Users/clair/Dropbox/Data Analysis/STAGE7/stage7_run__2026-03-24_shard50_auto20_v1__00009fe20000/_common/stage7_fit__PNU__interaction__cure_llogis.rds,54,12,29,13,age_s + sex_num + age_s:sex_num,age_s + sex_num + age_s:sex_num,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,interaction,site_free,age_sex_interaction,cure_coxlatency,semiparametric_cox_latency_cure,frequentist_cure_main,coxph,cox_ph,smcure,TRUE,nocure_coxph,ok,ok,ok,TRUE,TRUE,0,TRUE,smcure_ph,fitted_new,new_fit,NA,smcure_ph,prediction_ok,smcure_ph,NA,0,NA,0,NA,0,NA,0,0.1915128231048584,0.04934120178222656,0.24085402488708496,540,540,C:/Users/clair/Dropbox/Data Analysis/STAGE7/stage7_run__2026-03-24_shard50_auto20_v1__00009fe20000/_common/stage7_fit__PNU__interaction__cure_coxlatency.rds,54,12,29,13,age_s + sex_num + age_s:sex_num,age_s + sex_num + age_s:sex_num,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,interaction,site_free,age_sex_interaction,cure_aft_sensitivity,aft_latency_cure_sensitivity,frequentist_cure_sensitivity,aft,aft_semiparametric,smcure,TRUE,NA,ok,ok,ok,TRUE,TRUE,0,TRUE,smcure_aft,fitted_new,new_fit,NA,smcure_aft,prediction_ok,smcure_aft,NA,0,NA,0,NA,0,NA,0,5.028638124465942,0.03808999061584473,5.066728115081787,540,540,C:/Users/clair/Dropbox/Data Analysis/STAGE7/stage7_run__2026-03-24_shard50_auto20_v1__00009fe20000/_common/stage7_fit__PNU__interaction__cure_aft_sensitivity.rds,54,12,29,13,age_s + sex_num + age_s:sex_num,age_s + sex_num + age_s:sex_num,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
SNU,benchmark,benchmark,benchmark,benchmark_km,km_benchmark,benchmark,km,benchmark,survfit,FALSE,NA,ok,ok,ok,TRUE,TRUE,0,TRUE,survfit,fitted_new,new_fit,NA,survfit,benchmark_prediction,survfit,NA,0,NA,0,NA,0,NA,0,0.00513005256652832,0.03037714958190918,0.0355072021484375,2080,2080,C:/Users/clair/Dropbox/Data Analysis/STAGE7/stage7_run__2026-03-24_shard50_auto20_v1__00009fe20000/_common/stage7_fit__SNU__benchmark__benchmark_km.rds,208,38,170,0,NA,NA,SNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
SNU,base,site_free,no_age_sex_interaction,nocure_exp,no_cure,no_cure_anchor,exp,parametric_aft,custom_mle,FALSE,NA,ok,ok,ok,TRUE,TRUE,0,TRUE,BFGS,fitted_new,new_fit,-150.4965927999462,NA,prediction_ok,NA,NA,0,NA,0,NA,0,NA,0,0.09527301788330078,0.03669595718383789,0.13196897506713867,2080,2080,C:/Users/clair/Dropbox/Data Analysis/STAGE7/stage7_run__2026-03-24_shard50_auto20_v1__00009fe20000/_common/stage7_fit__SNU__base__nocure_exp.rds,208,38,170,0,age_s + sex_num,age_s + sex_num,SNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
SNU,base,site_free,no_age_sex_interaction,nocure_weibull,no_cure,no_cure_anchor,weibull,parametric_aft,custom_mle,FALSE,NA,ok,ok,ok,TRUE,TRUE,0,TRUE,BFGS,fitted_new,new_fit,-147.38116431509775,NA,prediction_ok,NA,NA,0,NA,0,NA,0,NA,0,0.20016694068908691,0.02524709701538086,0.22541403770446777,2080,2080,C:/Users/clair/Dropbox/Data Analysis/STAGE7/stage7_run__2026-03-24_shard50_auto20_v1__00009fe20000/_common/stage7_fit__SNU__base__nocure_weibull.rds,208,38,170,0,age_s + sex_num,age_s + sex_num,SNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
SNU,base,site_free,no_age_sex_interaction,nocure_lnorm,no_cure,no_cure_anchor,lnorm,parametric_aft,custom_mle,FALSE,NA,ok,ok,ok,TRUE,TRUE,0,TRUE,BFGS,fitted_new,new_fit,-147.14431344708814,NA,prediction_ok,NA,NA,0,NA,0,NA,0,NA,0,0.23180603981018064,0.02429389953613281,0.2560999393463135,2080,2080,C:/Users/clair/Dropbox/Data Analysis/STAGE7/stage7_run__2026-03-24_shard50_auto20_v1__00009fe20000/_common/stage7_fit__SNU__base__nocure_lnorm.rds,208,38,170,0,age_s + sex_num,age_s + sex_num,SNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
SNU,base,site_free,no_age_sex_interaction,nocure_llogis,no_cure,no_cure_anchor,llogis,parametric_aft,custom_mle,FALSE,NA,ok,ok,ok,TRUE,TRUE,0,TRUE,BFGS,fitted_new,new_fit,-147.27561697557917,NA,prediction_ok,NA,NA,0,NA,0,NA,0,NA,0,0.19687914848327637,0.0221259593963623,0.21900510787963867,2080,2080,C:/Users/clair/Dropbox/Data Analysis/STAGE7/stage7_run__2026-03-24_shard50_auto20_v1__00009fe20000/_common/stage7_fit__SNU__base__nocure_llogis.rds,208,38,170,0,age_s + sex_num,age_s + sex_num,SNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
SNU,base,site_free,no_age_sex_interaction,nocure_coxph,no_cure,no_cure_anchor,coxph,cox_ph,survival::coxph,FALSE,NA,ok,ok,ok,TRUE,TRUE,0,TRUE,coxph,fitted_new,new_fit,-183.3242843474692,coxph,prediction_ok,coxph,NA,0,NA,0,NA,0,NA,0,0.00592994689941406,0.03175783157348633,0.03768777847290039,2080,2080,C:/Users/clair/Dropbox/Data Analysis/STAGE7/stage7_run__2026-03-24_shard50_auto20_v1__00009fe20000/_common/stage7_fit__SNU__base__nocure_coxph.rds,208,38,170,0,age_s + sex_num,age_s + sex_num,SNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
SNU,base,site_free,no_age_sex_interaction,cure_exp,parametric_mixture_cure,frequentist_cure_main,exp,parametric_aft,custom_mle,TRUE,nocure_exp,ok,ok,ok,TRUE,TRUE,0,TRUE,BFGS,fitted_new,new_fit,-147.18261044328565,NA,prediction_ok,NA,NA,0,NA,0,NA,0,NA,0,0.7483088970184326,0.02294301986694336,0.771251916885376,2080,2080,C:/Users/clair/Dropbox/Data Analysis/STAGE7/stage7_run__2026-03-24_shard50_auto20_v1__00009fe20000/_common/stage7_fit__SNU__base__cure_exp.rds,208,38,170,0,age_s + sex_num,age_s + sex_num,SNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
SNU,base,site_free,no_age_sex_interaction,cure_weibull,parametric_mixture_cure,frequentist_cure_main,weibull,parametric_aft,custom_mle,TRUE,nocure_weibull,ok,ok,ok,TRUE,TRUE,0,TRUE,BFGS,fitted_new,new_fit,-146.5050072066012,NA,prediction_ok,NA,NA,0,NA,0,NA,0,NA,0,1.0451381206512451,0.02285194396972656,1.0679900646209717,2080,2080,C:/Users/clair/Dropbox/Data Analysis/STAGE7/stage7_run__2026-03-24_shard50_auto20_v1__00009fe20000/_common/stage7_fit__SNU__base__cure_weibull.rds,208,38,170,0,age_s + sex_num,age_s + sex_num,SNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
SNU,base,site_free,no_age_sex_interaction,cure_lnorm,parametric_mixture_cure,frequentist_cure_main,lnorm,parametric_aft,custom_mle,TRUE,nocure_lnorm,ok,ok,ok,TRUE,TRUE,0,TRUE,BFGS,fitted_new,new_fit,-145.57074660746363,NA,prediction_ok,NA,NA,0,NA,0,NA,0,NA,0,7.541489839553833,0.02360105514526367,7.565090894699097,2080,2080,C:/Users/clair/Dropbox/Data Analysis/STAGE7/stage7_run__2026-03-24_shard50_auto20_v1__00009fe20000/_common/stage7_fit__SNU__base__cure_lnorm.rds,208,38,170,0,age_s + sex_num,age_s + sex_num,SNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
SNU,base,site_free,no_age_sex_interaction,cure_llogis,parametric_mixture_cure,frequentist_cure_main,llogis,parametric_aft,custom_mle,TRUE,nocure_llogis,ok_with_warnings,ok,ok_with_warnings,TRUE,TRUE,1,FALSE,BFGS,fitted_new,new_fit,-145.42427921672794,NA,prediction_ok,NA,NA,2,non-zero optimizer convergence code (1) using BFGS | no converged optimizer attempt was found; best available finite fit retained,0,NA,2,non-zero optimizer convergence code (1) using BFGS | no converged optimizer attempt was found; best available finite fit retained,2,6.998757839202881,0.0245671272277832,7.023324966430664,2080,2080,C:/Users/clair/Dropbox/Data Analysis/STAGE7/stage7_run__2026-03-24_shard50_auto20_v1__00009fe20000/_common/stage7_fit__SNU__base__cure_llogis.rds,208,38,170,0,age_s + sex_num,age_s + sex_num,SNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
SNU,base,site_free,no_age_sex_interaction,cure_coxlatency,semiparametric_cox_latency_cure,frequentist_cure_main,coxph,cox_ph,smcure,TRUE,nocure_coxph,ok,ok,ok,TRUE,TRUE,0,TRUE,smcure_ph,fitted_new,new_fit,NA,smcure_ph,prediction_ok,smcure_ph,NA,0,NA,0,NA,0,NA,0,0.24370408058166504,0.02302908897399902,0.26673316955566406,2080,2080,C:/Users/clair/Dropbox/Data Analysis/STAGE7/stage7_run__2026-03-24_shard50_auto20_v1__00009fe20000/_common/stage7_fit__SNU__base__cure_coxlatency.rds,208,38,170,0,age_s + sex_num,age_s + sex_num,SNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
