dataset,formula_variant,site_branch,interaction_branch,model_id,matched_nocure_model_id,horizon_year,n_subject,mean_delta_risk_nc_minus_cure,median_delta_risk_nc_minus_cure,q25_delta_risk_nc_minus_cure,q75_delta_risk_nc_minus_cure,horizon_support,boot_n_success_delta,boot_success_rate_delta,mean_delta_risk_ci_lower,mean_delta_risk_ci_upper,stage6_join_key,stage6__dataset_key,stage6__source_dataset,stage6__analysis_variant,stage6__final_decision_flag,stage6__carry_forward_stage7,stage6__carry_forward_stage8,stage6__screening_repeated_in_stage8,stage6__presence_evidence_label,stage6__followup_evidence_label,stage6__screening_note,stage6_flag_joined
PNU,base,site_free,no_age_sex_interaction,cure_lnorm,nocure_lnorm,10,54,0.16712935187028063,0.2124082306288811,0.07252410059190995,0.27293629390577834,projection,1000,1,-1.443298736249068e-5,0.2820106603460431,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_weibull,nocure_weibull,1,54,-0.01985886083544128,-0.02330462392001164,-0.0368676217812732,-0.00530701608081932,primary_supported,1000,1,-0.04672261933729645,0.02267060762128065,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_weibull,nocure_weibull,2,54,0.01492653828693837,0.01767757199720521,-0.01997761747615367,0.04415131430071648,secondary,1000,1,-0.03672746334771112,0.07484314336549423,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_weibull,nocure_weibull,3,54,0.06383416041690618,0.06891017275835964,0.01860105738407469,0.09370940476381934,secondary,1000,1,-0.02153885292789241,0.15190781518300897,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_weibull,nocure_weibull,4,54,0.11242069500288546,0.11268800614195457,0.05876297940971697,0.1445426884649552,secondary,1000,1,-0.00979693509057033,0.23491464593621797,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_weibull,nocure_weibull,5,54,0.1568922542790729,0.1560896310945209,0.09792551975055946,0.19715702434694324,secondary,1000,1,-0.00511484052037354,0.30152756011762594,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_weibull,nocure_weibull,6,54,0.1965697546526665,0.19913684125988665,0.13554675050933043,0.2440334093698253,projection,1000,1,-1.855634985536256e-6,0.35686404638534286,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_weibull,nocure_weibull,7,54,0.2317124238800309,0.23697750103917875,0.17067116142394734,0.28333213695376325,projection,1000,1,6.419581891452308e-6,0.4002332372104466,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_weibull,nocure_weibull,8,54,0.26282867820102845,0.26879617153849744,0.20303855739135857,0.3164781169503458,projection,1000,1,3.7907136699128886e-5,0.4313465399277825,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_weibull,nocure_weibull,9,54,0.2904495364919515,0.29566503354537893,0.23227992660426172,0.3446372329515803,projection,1000,1,2.12105011117482e-4,0.4603123368225807,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_weibull,nocure_weibull,10,54,0.3150574638313836,0.32030062511296187,0.25571614901478595,0.3687272887115147,projection,1000,1,0.00208868871686925,0.48351135413017865,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,interaction,site_free,age_sex_interaction,cure_coxlatency,nocure_coxph,1,54,0.01990562250881375,0.00197664764601274,-0.0220810074848427,0.04505702219018018,primary_supported,887,0.887,-0.10330738077357356,0.0724653036339944,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,interaction,site_free,age_sex_interaction,cure_coxlatency,nocure_coxph,2,54,-0.03307624671228162,0.00123947835928472,-0.04491850077767342,0.02051221791683458,secondary,887,0.887,-0.15592668077024893,0.06650526157815208,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,interaction,site_free,age_sex_interaction,cure_coxlatency,nocure_coxph,3,54,-0.03307624671228162,0.00123947835928472,-0.04491850077767342,0.02051221791683458,secondary,887,0.887,-0.15592668077024893,0.06650526157815208,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,interaction,site_free,age_sex_interaction,cure_coxlatency,nocure_coxph,4,54,-0.03307624671228162,0.00123947835928472,-0.04491850077767342,0.02051221791683458,secondary,887,0.887,-0.15592668077024893,0.06650526157815208,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,interaction,site_free,age_sex_interaction,cure_coxlatency,nocure_coxph,5,54,-0.03307624671228162,0.00123947835928472,-0.04491850077767342,0.02051221791683458,secondary,887,0.887,-0.15592668077024893,0.06650526157815208,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,interaction,site_free,age_sex_interaction,cure_coxlatency,nocure_coxph,6,54,-0.03307624671228162,0.00123947835928472,-0.04491850077767342,0.02051221791683458,projection,887,0.887,-0.15592668077024893,0.06650526157815208,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,interaction,site_free,age_sex_interaction,cure_coxlatency,nocure_coxph,7,54,-0.03307624671228162,0.00123947835928472,-0.04491850077767342,0.02051221791683458,projection,887,0.887,-0.15592668077024893,0.06650526157815208,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,interaction,site_free,age_sex_interaction,cure_coxlatency,nocure_coxph,8,54,-0.03307624671228162,0.00123947835928472,-0.04491850077767342,0.02051221791683458,projection,887,0.887,-0.15592668077024893,0.06650526157815208,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,interaction,site_free,age_sex_interaction,cure_coxlatency,nocure_coxph,9,54,-0.03307624671228162,0.00123947835928472,-0.04491850077767342,0.02051221791683458,projection,887,0.887,-0.15592668077024893,0.06650526157815208,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,interaction,site_free,age_sex_interaction,cure_coxlatency,nocure_coxph,10,54,-0.03307624671228162,0.00123947835928472,-0.04491850077767342,0.02051221791683458,projection,887,0.887,-0.15592668077024893,0.06650526157815208,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,interaction,site_free,age_sex_interaction,cure_exp,nocure_exp,1,54,-0.02349401444159859,-0.0287583290392176,-0.03720151872439442,-0.01909900159525746,primary_supported,1000,1,-0.04395001455385792,0.0141614523853222,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,interaction,site_free,age_sex_interaction,cure_exp,nocure_exp,2,54,0.06409378464010368,0.07149888170553886,0.01069666488772896,0.1040764530221746,secondary,1000,1,-0.00415348549569947,0.13631727108209185,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,interaction,site_free,age_sex_interaction,cure_exp,nocure_exp,3,54,0.15642693036659103,0.16813953921333996,0.07106012209750481,0.23181158657548967,secondary,1000,1,1.1322671390834216e-6,0.24262211082246551,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,interaction,site_free,age_sex_interaction,cure_exp,nocure_exp,4,54,0.23572161576731612,0.23023652333056943,0.13701691360252236,0.33413327699810513,secondary,1000,1,3.3090042004809123e-6,0.3247035749041672,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,interaction,site_free,age_sex_interaction,cure_exp,nocure_exp,5,54,0.30037235087485736,0.2751714394306224,0.20103949405519073,0.4084683765153684,secondary,1000,1,4.7563482846650995e-6,0.3901100786880871,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,interaction,site_free,age_sex_interaction,cure_exp,nocure_exp,6,54,0.3522813104822008,0.327720194462384,0.2603333012002822,0.4619039380504026,projection,1000,1,7.7357036041457e-6,0.4364973061011316,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,interaction,site_free,age_sex_interaction,cure_exp,nocure_exp,7,54,0.39389972922445293,0.3722073127177992,0.3079837363926593,0.500214675084047,projection,1000,1,1.5800473105300793e-5,0.4787562626288871,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,interaction,site_free,age_sex_interaction,cure_exp,nocure_exp,8,54,0.42743967460868504,0.4114822754649282,0.34141030318483073,0.5276633716925868,projection,1000,1,1.956468288855672e-5,0.5089146345136536,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,interaction,site_free,age_sex_interaction,cure_exp,nocure_exp,9,54,0.45470095057660936,0.4402185619689009,0.3724704676611044,0.547326385502209,projection,1000,1,5.296431757736424e-5,0.5382281904502405,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,interaction,site_free,age_sex_interaction,cure_exp,nocure_exp,10,54,0.4770868784206627,0.4613458745503896,0.4069941769365547,0.5614114956561225,projection,1000,1,5.628598708184301e-5,0.5608950751460452,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,interaction,site_free,age_sex_interaction,cure_llogis,nocure_llogis,1,54,-0.01320664439755387,-0.0157073746094159,-0.02412089253042731,-0.00399742457326388,primary_supported,1000,1,-0.04683819701194033,0.03314679111491276,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,interaction,site_free,age_sex_interaction,cure_llogis,nocure_llogis,2,54,0.02497659462850495,0.00893936987225446,-0.00434136580154295,0.04707121607929199,secondary,1000,1,-0.02997994896795444,0.07726746010306607,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,interaction,site_free,age_sex_interaction,cure_llogis,nocure_llogis,3,54,0.06363921666557804,0.03809464089177727,0.02432680198390999,0.10691546529684284,secondary,1000,1,-0.02110181488401025,0.13798207301273566,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,interaction,site_free,age_sex_interaction,cure_llogis,nocure_llogis,4,54,0.09756696512997703,0.06565975934904245,0.04556630160566374,0.154824849894278,secondary,1000,1,-0.01488478334500539,0.19925830456278248,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,interaction,site_free,age_sex_interaction,cure_llogis,nocure_llogis,5,54,0.12682216755910045,0.0915489127340342,0.06715261054022231,0.19252810897095543,secondary,1000,1,-0.0171319327652879,0.24362585732957173,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,interaction,site_free,age_sex_interaction,cure_llogis,nocure_llogis,6,54,0.15215455638080905,0.1157296987590995,0.09150612329723076,0.2230421574326955,projection,1000,1,-0.01208010930242129,0.2757019202044583,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,interaction,site_free,age_sex_interaction,cure_llogis,nocure_llogis,7,54,0.17428607461706158,0.13834086806258072,0.11328362740504402,0.24831902638772585,projection,1000,1,-0.01028161475817877,0.30738610171297726,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,interaction,site_free,age_sex_interaction,cure_llogis,nocure_llogis,8,54,0.19380415839903212,0.15930825620641648,0.1327623254500453,0.2696583524723699,projection,1000,1,-0.00635967581405735,0.3317504172971909,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,interaction,site_free,age_sex_interaction,cure_llogis,nocure_llogis,9,54,0.2111696904549878,0.17878019773584986,0.1502445570194241,0.28795631673695343,projection,1000,1,-0.00648151376687786,0.35286731453516035,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
