dataset,model_id,site_adjustment_flag,parameter,mean,sd,q025,q50,q975,n_eff,rhat
merged_no_site,MERGED-I0-L0S0-LN-ANCH-NOSITE,FALSE,beta_inc[2],0.8776819073836656,0.17158780285639363,0.5500696837626966,0.8753766258604718,1.2051458439898575,3515.5019651080893,0.9999088096708908
merged_no_site,MERGED-I0-L0S0-LN-ANCH-NOSITE,FALSE,beta_inc[3],0.6074630375256079,0.18833469110346962,0.23811961787098695,0.607974142972304,0.9775223653331641,3708.167523740216,1.000129004641089
merged_no_site,MERGED-I0-L0S0-LN-ANCH-NOSITE,FALSE,beta_inc[4],0.37641386363424156,0.28499625931526856,-0.1719595782841776,0.37767712659138963,0.9298817054979981,3848.0932123253706,1.0014887153451142
merged_no_site,MERGED-I0-L0S0-LN-ANCH-NOSITE,FALSE,beta_inc[5],0.08425000018142745,0.29776175108993647,-0.5127017088225709,0.08417725146744581,0.6660230123370576,3431.3815545119437,1.0002636663245974
merged_no_site,MERGED-I0-L0S0-LN-ANCH-NOSITE,FALSE,gamma0,2.1095397752175784,0.780169060541129,0.538086665318519,2.1431955913568226,3.5456908971823813,1450.93708176163,1.002029400092444
merged_no_site,MERGED-I0-L0S0-LN-ANCH-NOSITE,FALSE,gamma_lat[1],-0.20042487941761422,0.44977170029903446,-1.0778681199438327,-0.19878322821087807,0.6979614849763989,3457.2749215962917,0.999405133362014
merged_no_site,MERGED-I0-L0S0-LN-ANCH-NOSITE,FALSE,gamma_lat[2],0.6524708609952776,0.46894095641512373,-0.2519929593852571,0.6576102493772362,1.5573640870572758,2793.2153090431407,1.0010873701156564
merged_no_site,MERGED-I0-L0S0-LN-ANCH-NOSITE,FALSE,log_sigma,0.8989407565801754,0.13056178726141543,0.6331065375903822,0.902323198919315,1.1501102193790866,2077.7883872883,1.0015340049654393
merged_site_adjusted,MERGED-I1-L0S1-LN-ANCH-N01,TRUE,alpha_inc,0.7471290725425628,1.248019478319059,-1.1975673745232698,0.5707817965710871,3.735310058968105,2402.523956568759,1.0023374179571958
merged_site_adjusted,MERGED-I1-L0S1-LN-ANCH-N01,TRUE,beta_inc[1],0.4283871806376132,0.13502742427948752,0.1580701473930213,0.42932627329316847,0.6984324385993119,5410.78829060965,0.9991968077876285
merged_site_adjusted,MERGED-I1-L0S1-LN-ANCH-N01,TRUE,beta_inc[2],0.894476053750581,0.17522003246437443,0.5517872422060868,0.895332788471193,1.2354117624104024,5468.111304294852,1.0000098060368963
merged_site_adjusted,MERGED-I1-L0S1-LN-ANCH-N01,TRUE,beta_inc[3],0.603870551868318,0.1920013896297388,0.22109827483573039,0.6043128111082418,0.9674706250135807,5075.0617161825685,0.9993127893474294
merged_site_adjusted,MERGED-I1-L0S1-LN-ANCH-N01,TRUE,beta_inc[4],0.41429997785904177,0.2807526229048032,-0.14919970681519032,0.41514004327669973,0.9500891444695749,5293.999846009317,0.9996163796109132
merged_site_adjusted,MERGED-I1-L0S1-LN-ANCH-N01,TRUE,beta_inc[5],0.08685789949375174,0.2980143219494774,-0.5046208488890591,0.08334897411307715,0.6474030700877249,5464.145762442041,0.9995825238073184
merged_site_adjusted,MERGED-I1-L0S1-LN-ANCH-N01,TRUE,beta_inc[6],0.32837635423017886,0.8692464469601743,-1.3184935255426433,0.3317038908103901,2.032331025493809,4394.576131810246,0.9993749993259486
merged_site_adjusted,MERGED-I1-L0S1-LN-ANCH-N01,TRUE,gamma0,1.4783022665277816,0.7539665090485566,-0.08549677203991118,1.4763799801857598,2.9138857108098417,2285.943860036277,1.0029742918217013
merged_site_adjusted,MERGED-I1-L0S1-LN-ANCH-N01,TRUE,gamma_lat[1],-0.03802616500036661,0.4369105494684629,-0.8666915928369843,-0.04454787120165702,0.8113672737259758,4210.890685995812,0.9997419379453784
merged_site_adjusted,MERGED-I1-L0S1-LN-ANCH-N01,TRUE,gamma_lat[2],0.43785212107032834,0.4618555423890688,-0.4496063048601677,0.426513681491449,1.3532377710766832,4274.584376346275,0.9999682374989469
merged_site_adjusted,MERGED-I1-L0S1-LN-ANCH-N01,TRUE,gamma_lat[3],1.1680452973630087,0.5312702623286972,0.1144530606197043,1.1592625414125561,2.2069305144124907,4014.7427569300785,1.0008526913854787
merged_site_adjusted,MERGED-I1-L0S1-LN-ANCH-N01,TRUE,log_sigma,0.8846791663590965,0.12175690606902081,0.6415165461937661,0.8850734617645162,1.1208681631824509,3011.975345745681,1.0008105982730724
