dataset,model_formula,time_horizon_year,susceptible_fraction,cure_fraction,overall_survival_prob,overall_risk_prob,susceptible_only_survival_prob,susceptible_only_risk_prob
merged_no_site,incidence = latency = age_s + sex_num,2,0.9157483328741954,0.08425166712580456,0.8383071637907692,0.16169283620923086,0.8170916490335476,0.1829083509664524
merged_no_site,incidence = latency = age_s + sex_num,3,0.9157483328741954,0.08425166712580456,0.8009515929146442,0.19904840708535582,0.77552954668161,0.22447045331839002
merged_no_site,incidence = latency = age_s + sex_num,4,0.9157483328741954,0.08425166712580456,0.7716581153659045,0.22834188463409558,0.7430412929917262,0.2569587070082738
merged_no_site,incidence = latency = age_s + sex_num,5,0.9157483328741954,0.08425166712580456,0.7474436478159872,0.25255635218401284,0.7162484823433007,0.2837515176566992
merged_no_site,incidence = latency = age_s + sex_num,6,0.9157483328741954,0.08425166712580456,0.7267613962826985,0.2732386037173015,0.693405904292278,0.306594095707722
merged_no_site,incidence = latency = age_s + sex_num,7,0.9157483328741954,0.08425166712580456,0.7086936757990242,0.29130632420097585,0.6734810380192974,0.3265189619807026
merged_no_site,incidence = latency = age_s + sex_num,8,0.9157483328741954,0.08425166712580456,0.6926467905103995,0.30735320948960054,0.6558073736244854,0.34419262637551457
merged_no_site,incidence = latency = age_s + sex_num,9,0.9157483328741954,0.08425166712580456,0.6782125269036443,0.32178747309635564,0.6399274741055833,0.3600725258944168
merged_no_site,incidence = latency = age_s + sex_num,10,0.9157483328741954,0.08425166712580456,0.6650971723441061,0.33490282765589385,0.6255127264945199,0.3744872735054801
merged_site_adjusted,incidence = latency = age_s + sex_num + site,1,0.8271528736747157,0.17284712632528432,0.8875585631195304,0.11244143688046966,0.8539294758023966,0.14607052419760339
merged_site_adjusted,incidence = latency = age_s + sex_num + site,2,0.8271528736747157,0.17284712632528432,0.8324308376849996,0.1675691623150004,0.785122073662989,0.214877926337011
merged_site_adjusted,incidence = latency = age_s + sex_num + site,3,0.8271528736747157,0.17284712632528432,0.7936357290222132,0.2063642709777868,0.7371944992617822,0.26280550073821785
merged_site_adjusted,incidence = latency = age_s + sex_num + site,4,0.8271528736747157,0.17284712632528432,0.7633906605310715,0.2366093394689285,0.7000559225080799,0.29994407749192004
merged_site_adjusted,incidence = latency = age_s + sex_num + site,5,0.8271528736747157,0.17284712632528432,0.7385273889083093,0.2614726110916907,0.6696555847228215,0.33034441527717845
merged_site_adjusted,incidence = latency = age_s + sex_num + site,6,0.8271528736747157,0.17284712632528432,0.7174001925881452,0.28259980741185475,0.6439072265263394,0.35609277347366064
merged_site_adjusted,incidence = latency = age_s + sex_num + site,7,0.8271528736747157,0.17284712632528432,0.699032391099684,0.3009676089003161,0.6215802444766667,0.3784197555233333
merged_site_adjusted,incidence = latency = age_s + sex_num + site,8,0.8271528736747157,0.17284712632528432,0.6827923891873772,0.31720761081262283,0.6018825706480694,0.3981174293519307
merged_site_adjusted,incidence = latency = age_s + sex_num + site,9,0.8271528736747157,0.17284712632528432,0.6682462782126588,0.3317537217873412,0.5842721168394027,0.4157278831605973
merged_site_adjusted,incidence = latency = age_s + sex_num + site,10,0.8271528736747157,0.17284712632528432,0.6550821968741891,0.34491780312581083,0.5683605063128059,0.4316394936871941
