timestamp,stage,dataset_key,note,run_mode,bootstrap_reps_xie,bootstrap_reps_hsu,optim_maxit,parallel_cores
2026-03-24 14:47:59.637436,bootstrap_running,NA,XIE[merged__site_free] chunk 47 of 50,full,499,199,5000,4
2026-03-24 14:47:59.660855,bootstrap_running,NA,XIE[merged__site_free] chunk 48 of 50,full,499,199,5000,4
2026-03-24 14:47:59.685058,bootstrap_running,NA,XIE[merged__site_free] chunk 49 of 50,full,499,199,5000,4
2026-03-24 14:47:59.706568,bootstrap_running,NA,XIE[merged__site_free] chunk 50 of 50,full,499,199,5000,4
2026-03-24 14:51:49.165241,bootstrap_running,NA,HSU[merged__site_free] chunk 1 of 20,full,499,199,5000,4
2026-03-24 14:55:41.916149,bootstrap_running,NA,HSU[merged__site_free] chunk 2 of 20,full,499,199,5000,4
2026-03-24 14:57:51.724168,bootstrap_running,NA,HSU[merged__site_free] chunk 3 of 20,full,499,199,5000,4
2026-03-24 15:00:19.478957,bootstrap_running,NA,HSU[merged__site_free] chunk 4 of 20,full,499,199,5000,4
2026-03-24 15:02:44.837418,bootstrap_running,NA,HSU[merged__site_free] chunk 5 of 20,full,499,199,5000,4
2026-03-24 15:04:47.082412,bootstrap_running,NA,HSU[merged__site_free] chunk 6 of 20,full,499,199,5000,4
2026-03-24 15:07:52.261243,bootstrap_running,NA,HSU[merged__site_free] chunk 7 of 20,full,499,199,5000,4
2026-03-24 15:11:17.738065,bootstrap_running,NA,HSU[merged__site_free] chunk 8 of 20,full,499,199,5000,4
2026-03-24 15:15:28.430924,bootstrap_running,NA,HSU[merged__site_free] chunk 9 of 20,full,499,199,5000,4
2026-03-24 15:18:04.996811,bootstrap_running,NA,HSU[merged__site_free] chunk 10 of 20,full,499,199,5000,4
2026-03-24 15:20:03.446844,bootstrap_running,NA,HSU[merged__site_free] chunk 11 of 20,full,499,199,5000,4
2026-03-24 15:22:46.946647,bootstrap_running,NA,HSU[merged__site_free] chunk 12 of 20,full,499,199,5000,4
2026-03-24 15:25:17.376581,bootstrap_running,NA,HSU[merged__site_free] chunk 13 of 20,full,499,199,5000,4
2026-03-24 15:27:40.257406,bootstrap_running,NA,HSU[merged__site_free] chunk 14 of 20,full,499,199,5000,4
2026-03-24 15:30:47.645953,bootstrap_running,NA,HSU[merged__site_free] chunk 15 of 20,full,499,199,5000,4
2026-03-24 15:33:43.86424,bootstrap_running,NA,HSU[merged__site_free] chunk 16 of 20,full,499,199,5000,4
2026-03-24 15:39:55.869753,bootstrap_running,NA,HSU[merged__site_free] chunk 17 of 20,full,499,199,5000,4
2026-03-24 15:43:27.185506,bootstrap_running,NA,HSU[merged__site_free] chunk 18 of 20,full,499,199,5000,4
2026-03-24 15:48:30.709268,bootstrap_running,NA,HSU[merged__site_free] chunk 19 of 20,full,499,199,5000,4
2026-03-24 15:51:35.699906,bootstrap_running,NA,HSU[merged__site_free] chunk 20 of 20,full,499,199,5000,4
